experiment,dataset,method_id,method,result_group,target_components,derivative_source,causal,future_samples,native_delay_samples,target_timing,evaluation_start_index,evaluation_stop_index_exclusive,sweep_type,sweep_value,max_velocity_limit,max_acceleration_limit,max_jerk_limit,minimum_duration_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,raw_target_feasible_rate,target_projection_rate,projection_velocity_rmse,projection_acceleration_rmse,raw_target_max_velocity,raw_target_max_acceleration,raw_target_max_sampled_jerk,projected_target_max_velocity,projected_target_max_acceleration,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,reachable_within_10ms_rate,output_max_velocity,output_max_acceleration,output_max_new_jerk,output_max_sampled_jerk,output_velocity_saturation_rate,output_acceleration_saturation_rate,output_new_jerk_saturation_rate,ruckig_compute_p99_us,ruckig_compute_max_us,settle_time_to_1e3_ms,settle_max_error,settle_final_error,dataset_label,position_range_rad,position_robust_scale_rad,normalized_rmse_robust,normalized_mae_robust,normalized_max_error_range,abs_best_lag_ms
baseline,no_velocity_limit,pv_central_offline,PV · centered FD (offline),core,pv,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,1275,none,nan,4.1,8.2,4000.0,10.0,0.22582582970429224,0.10058647034325613,1.0302238687559588,300.0,0.14486417723897552,1.0,0.0,0.0,0.0,3.149518737590139,0.0,0.0,3.149518737590139,0.0,25.565220369551316,404.44899285266837,633.0625437469918,0.29009433962264153,2.9490743321588004,8.200000000000001,4000.0,1639.9999999999998,0.0,0.589622641509434,0.12028301886792453,2.084,5.916,0.0,3.885780586188048e-16,3.885780586188048e-16,Simplified · no velocity limit,1.020332324765507,0.7031673755067537,0.3211551581748879,0.14304769226639133,1.0096944336177187,300.0
baseline,no_velocity_limit,pva_central_offline,PVA · centered FD (offline),core,pva,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,1275,none,nan,4.1,8.2,4000.0,10.0,0.10645489663920046,0.04809237969162596,0.5760037120312744,130.0,0.05892913322159618,0.7507861635220126,0.24921383647798742,0.4247338942239582,12.274798358234975,3.149518737590139,161.7430447745277,30785.52490869748,3.149518737590139,8.199999918,16.113582153528245,228.8385394396221,466.8300588225874,0.3561320754716981,2.4928309974106355,8.2,4000.0,1639.9999999999998,0.0,0.5125786163522013,0.13128930817610063,2.0541799999999983,5.25,0.0,0.0,0.0,Simplified · no velocity limit,1.020332324765507,0.7031673755067537,0.151393395580222,0.06839392919355379,0.5645255943093361,130.0
baseline,no_velocity_limit,pv_central_causal,PV · centered FD (causal delay-1),realtime_supplement,pv,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,1275,none,nan,4.1,8.2,4000.0,10.0,0.2647692490136956,0.1165358907784668,1.158537484911852,300.0,0.19845785036711852,1.0,0.0,0.0,0.0,3.588322848202397,0.0,0.0,3.588322848202397,0.0,50.213544143525716,412.57427879529075,770.8449872247456,0.24449685534591195,3.0694290718062995,8.2,4000.0,1639.9999999999998,0.0,0.6446540880503144,0.11084905660377359,1.7029599999999956,8.459,0.0,2.3037127760972e-15,2.275957200481571e-15,Simplified · no velocity limit,1.020332324765507,0.7031673755067537,0.3765380167458474,0.16572994544077438,1.1354511239052505,300.0
baseline,no_velocity_limit,pva_central_causal,PVA · centered FD (causal delay-1),realtime_supplement,pva,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,1275,none,nan,4.1,8.2,4000.0,10.0,0.10609060777791751,0.04870312337757968,0.559253327664967,130.0,0.05743270456972683,0.7507861635220126,0.24921383647798742,0.43824236638807035,12.274798358234975,3.588322848202397,161.7430447745277,30785.52490869748,3.169134536326147,8.199999918,25.5218173065491,245.34711691707162,482.4422385104711,0.2531446540880503,2.506982966181007,8.200000000000001,4000.0,1639.9999999999998,0.0,0.6045597484276729,0.14229559748427673,2.5,13.834,0.0,1.9385326677223702e-11,2.3314683517128287e-15,Simplified · no velocity limit,1.020332324765507,0.7031673755067537,0.1508753270890318,0.06926249008990307,0.5481089975204841,130.0
baseline,velocity_limit,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,7673,none,nan,4.1,8.2,4000.0,10.0,0.004125495168881926,0.0016654224340290043,0.03184777318385834,30.0,0.0012830549709379007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.10543887192295,35.36224436981827,75.60786760664001,0.25958279009126467,0.6469427429807726,8.2,4000.0,1639.9999999999998,0.0,0.5443285528031291,0.19608865710560625,1.833,13.917,0.0,0.0,0.0,Simplified · velocity limit,0.9581948516458032,0.8191234859293234,0.005036475256476636,0.002033176270290341,0.033237261846227155,30.0
baseline,velocity_limit,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,7673,none,nan,4.1,8.2,4000.0,10.0,0.0037268904563529364,0.0010774418267510484,0.058940814939685574,20.0,0.0027999887146796013,1.0,0.0,0.0,0.0,1.3058204245657512,0.0,0.0,1.3058204245657512,0.0,10.0,11.95866198730574,99.83393105822915,0.796219035202086,1.0377163048996745,8.200000000000001,4000.0,1639.9999999999998,0.0,0.07157757496740548,0.13220338983050847,1.667,31.042,0.0,2.5673907444456745e-16,2.7755575615628914e-17,Simplified · velocity limit,0.9581948516458032,0.8191234859293234,0.004549851787151058,0.0013153594607639093,0.06151234776355598,20.0
baseline,velocity_limit,pva_backward,PVA · historical backward FD,core,pva,backward_fd,True,0,0,target[k] -> output[k+1],3,7673,none,nan,4.1,8.2,4000.0,10.0,0.002939000099261462,0.0009546311867525537,0.05414425223217835,20.0,0.0020678172957384155,0.9916558018252933,0.008344198174706649,0.029976548423504067,3.2171433134248084,1.3058204245657512,129.29402470382988,19622.526683020224,0.7217259096696238,8.199999918,10.0,12.381242715231748,87.2525690390988,0.7739243807040417,0.996507260590989,8.200000000000001,4000.0,1639.9999999999998,0.0,0.07183833116036506,0.15436766623207301,1.542,8.542,0.0,3.587408148320037e-15,3.587408148320037e-15,Simplified · velocity limit,0.9581948516458032,0.8191234859293234,0.0035879817265000854,0.001165430125189845,0.05650651549544411,20.0
baseline,velocity_limit,pv_central_offline,PV · centered FD (offline),core,pv,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,7673,none,nan,4.1,8.2,4000.0,10.0,0.004804486317893662,0.0012696361594927387,0.07184696271279961,30.0,0.003614033024605142,1.0,0.0,0.0,0.0,0.9711642139338894,0.0,0.0,0.9711642139338894,0.0,10.0,10.25119938592636,80.05876380171746,0.8924380704041721,1.0290430716052676,8.2,4000.0,1639.9999999999998,0.0,0.07014341590612777,0.03741851368970013,2.0833099999999996,19.875,0.0,7.296246939958451e-13,7.296246939958451e-13,Simplified · velocity limit,0.9581948516458032,0.8191234859293234,0.005865399296227979,0.0015499935984039004,0.07498157873567646,30.0
baseline,velocity_limit,pva_central_offline,PVA · centered FD (offline),core,pva,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,7673,none,nan,4.1,8.2,4000.0,10.0,0.0030737484962862923,0.0009881814826355687,0.054787269906964114,20.0,0.002122294771038864,0.9916558018252933,0.008344198174706649,0.023724140855821415,3.2171433134248084,0.9711642139338894,129.29402470382988,19622.526683020224,0.7149933305953794,8.199999918,10.0,10.0,43.631871380274866,0.9298565840938723,0.9875950930727364,8.2,4000.0,1639.9999999999998,0.0,0.05032594524119948,0.019817470664928293,1.709,15.25,0.0,2.0816681711721685e-17,2.0816681711721685e-17,Simplified · velocity limit,0.9581948516458032,0.8191234859293234,0.003752484880590404,0.001206388901808185,0.05717758743209803,20.0
baseline,velocity_limit,pv_central_causal,PV · centered FD (causal delay-1),realtime_supplement,pv,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,7673,none,nan,4.1,8.2,4000.0,10.0,0.004604104583164157,0.001274121692300786,0.06575960753863046,30.0,0.003279987697003664,1.0,0.0,0.0,0.0,1.9522905480849004,0.0,0.0,1.9522905480849004,0.0,10.0,12.61366681876309,104.19374929129269,0.8448500651890483,0.9890116297894732,8.200000000000001,4000.0,1639.9999999999998,0.0,0.08865710560625815,0.06649282920469361,1.792,25.625,0.0,4.489464355827977e-15,4.489464355827977e-15,Simplified · velocity limit,0.9581948516458032,0.8191234859293234,0.005620769837823224,0.0015554696137850957,0.06862863792858126,30.0
