dataset,label,window_index,start_index,stop_index_exclusive,start_time_s,stop_time_s,sample_count,position_range_rad,tracking_rmse_rad,tracking_max_error_rad,max_abs_velocity,rms_velocity,max_abs_acceleration,rms_acceleration,max_abs_jerk,rms_jerk
current_csv,Current CSV,13,1303,1403,13.030000000000001,14.030000000000001,100,0.1319858064060404,0.0033431314434608974,0.007033850620075444,0.31165557372802577,0.15407309397488747,28.60981394464376,7.910933737829578,2308.540892724843,523.453042391625
current_csv,Current CSV,14,1403,1503,14.030000000000001,15.030000000000001,100,0.350892799109082,0.015262211958244894,0.030906303535334967,1.3128433091469631,0.4132665733969095,155.9240660309813,41.78077619298769,13839.989038380767,2999.620186057032
current_csv,Current CSV,15,1503,1603,15.030000000000001,16.03,100,0.6974156529712238,0.08866120244868934,0.16980123279291717,1.957878422605025,1.048878053908633,190.54663612895635,49.27532314974696,10932.291339242227,3229.07892135087
current_csv,Current CSV,16,1603,1703,16.03,17.03,100,0.11218040569444407,0.012566939650297973,0.05751686853308527,0.41424871119668805,0.19287023533502312,39.06680513673172,6.96607775847429,2098.749194901732,409.2025898310149
current_csv,Current CSV,17,1703,1803,17.03,18.03,100,0.07131427579153324,0.002823329569953647,0.007387962814669996,0.34037224184899123,0.13597476197192251,53.4157216656355,10.452041326695484,2400.158320585273,616.2436489272989
current_csv,Current CSV,18,1803,1903,18.03,19.03,100,0.0639510289579638,0.0015304484822296122,0.0054491857738009596,0.2762497211171564,0.08420851443601259,36.61114822342458,7.287461135049238,1884.6303014576729,421.6147453813146
new_csv,New simplified CSV,0,3,103,0.03,1.03,100,0.48832793882522807,0.03632503151084438,0.06657851457480943,1.2238372990542188,0.6514598460693123,35.48742049324371,10.376353181694608,1515.2208712264912,492.09941746973624
new_csv,New simplified CSV,1,103,203,1.03,2.0300000000000002,100,0.9141491112721487,0.1126028668981566,0.20535706875543003,2.2430250216334535,1.2742247281833683,44.208057749068054,17.966454939756645,4194.666128909295,1181.5219852295136
new_csv,New simplified CSV,2,203,303,2.0300000000000002,3.0300000000000002,100,0.2925132769768365,0.11326253602034418,0.24216560648310848,1.2224698032461998,0.47641024673542404,33.432813436111985,7.638803031624925,2547.557935857619,530.8013339458105
new_csv,New simplified CSV,3,303,403,3.0300000000000002,4.03,100,0.2699792489482687,0.012480861152527471,0.028143235118392146,0.7078259178792623,0.3353481739645451,31.794801347995726,7.2148340140777245,1910.2434921851873,473.4041955524292
new_csv,New simplified CSV,4,403,503,4.03,5.03,100,0.7122834964850333,0.08084565310659697,0.19090782628543856,2.31665239368658,1.0545462139820643,58.89587778801733,15.709817425325333,4244.292071026605,1091.0489562029459
new_csv,New simplified CSV,5,503,603,5.03,6.03,100,0.27746417479761265,0.0633065921452498,0.1417238863680807,0.9935117246933051,0.41204075151513153,161.7430447745277,27.98766612581044,6781.984388042852,1343.8180442783475
new_csv,New simplified CSV,6,603,703,6.03,7.03,100,0.10757533347448475,0.003110119563922512,0.010623599883045134,0.37906164632569295,0.14866338838211163,9.944489830224223,2.8094986899134344,732.4872312275055,185.42833461598173
new_csv,New simplified CSV,7,703,803,7.03,8.03,100,0.3115147800403667,0.01757436482255869,0.054847178509301875,1.5741837591722707,0.5124043438396828,51.575378659783894,11.524593248950039,3274.582139848742,695.9937896682155
new_csv,New simplified CSV,8,803,903,8.03,9.03,100,0.7868206775901719,0.2759290106923765,0.5128313358781429,3.149518737590139,1.772763652630482,98.45645375295669,35.33403566212561,6101.992216587061,2001.081285958744
