dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
cubic,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.0006911112856670075,0.0006071885351272439,0.001079247732577962,0.0,0.0006911112856670075,0.0,0.6035293897853774,1.4708991238395612,7.511520522335217,50.0,50.0,50.0,50.0,1.0,0.5869788890964952,0.0,0.0,1.083,1.41601,1.2504199999999996
cubic,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,0.000709213498414501,0.0006211242963464266,0.0011131426458541455,0.0,0.000709213498414501,0.0,0.5928402158538787,1.584107844501714,8.092666897867339,50.0,50.0,50.0,50.0,1.0,0.5862347018788525,0.0,0.0,3.125,4.084409999999999,1.167
cubic,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,0.0007016713256291212,0.0006155008295949751,0.0010986449192927905,0.0,0.0007016713256291212,0.0,0.5924430387734703,1.559256580054964,7.9686881490228485,50.0,50.0,50.0,50.0,1.0,0.5862766472840505,0.0,0.0,3.083,3.5444999999999975,1.0424099999999996
cubic,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.001273488057752562,0.0010909676186706152,0.0021095522624800258,0.0,0.001273488057752562,0.0,0.6368347297944741,1.4815924054349088,7.557028198574229,60.0,60.0,60.0,60.0,1.0,0.5885643689352282,0.0,0.0,3.166,3.7924099999999994,2.2098199999999992
cubic,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.0008711585440746735,0.0007447483634025469,0.0014587346625520683,0.0,0.0008711585440746735,0.0,0.6299530054829325,1.4714838298709267,7.511185821181446,50.0,50.0,50.0,50.0,1.0,0.5898717132441337,0.0,0.0,12.125,14.008339999999992,2.1254199999999996
cubic,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.07472670897887272,0.06123151081171777,0.1247488828572217,230.0,0.008567985344875725,0.0,0.5406894845281103,1.229941994504062,6.189179510971553,50.0,50.0,50.0,50.0,1.0,0.5359993747316133,0.0,0.0,6.75,8.169909999999998,1.1674099999999996
sine,Position only,0.0,10.0,10.0,full,0.031489501209795025,0.018918522134403332,0.09578384587421962,50.0,0.009419570882599374,0.0,0.0,0.0,0.0,40.06631762614346,91.8448393677054,112.19662000459876,112.4389858506758,0.09,1.5888480559545384,16.0,2479.406315420927,0.125,0.25040999999999963,2.0004199999999996
sine,Raw backward difference (original),0.0,0.0,10.0,full,0.009959710591161616,0.006925625603574324,0.03026715118359835,10.0,0.004793766920393876,0.0,1.694482817664375,6.362914489752569,39.88713055063063,10.0,18.506102370583463,179.12662777115327,266.0573129948626,0.58,1.7127909536652826,16.0,3200.0,0.417,0.5424199999999997,1.125
sine,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.0015386666268378361,0.0012170879846421334,0.002932516406865704,0.0,0.0015386666268378361,0.0,1.7639173731324786,6.362914489752569,39.88713055063063,50.0,50.0,50.0,50.0,1.0,1.6746506551403963,0.0,0.0,1.042,1.3334199999999996,1.3758299999999992
sine,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,0.0015645654091802107,0.0012376371078390168,0.0029589240937926142,0.0,0.0015645654091802107,0.0,1.7029880273440967,7.035603782699459,44.70254922637444,50.0,50.0,50.0,50.0,1.0,1.667833274402237,0.0,0.0,3.125,4.389999999999986,1.209
sine,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,0.0015496540758188633,0.0012273597698701315,0.0029267324681694906,0.0,0.0015496540758188633,0.0,1.6999237714392783,6.88422552553595,43.603382774052534,50.0,50.0,50.0,50.0,1.0,1.6681225646374362,0.0,0.0,3.042,3.4174099999999994,1.20801
sine,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.003334497866935281,0.0024520850150280883,0.007945911985720167,0.0,0.003334497866935281,0.0,1.9471111004249755,6.430595666377811,40.310178116419294,60.0,60.0,60.0,60.0,1.0,1.6960685938110869,0.0,0.0,3.1045,4.00083,2.1674099999999994
sine,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.0023374307750297406,0.0017057292833195282,0.005702536677866354,0.0,0.0023374307750297406,0.0,1.9075542260987912,6.371632172333384,39.89123504613009,50.0,50.0,50.0,50.0,1.0,1.697912355887058,0.0,0.0,12.292,15.920169999999997,2.2096699999999987
sine,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.13382999091433928,0.1004044793687341,0.32741825510571565,220.0,0.0255003201448902,0.0,1.4033022182171013,5.2785232751520414,30.373954874554485,50.0,50.0,50.0,50.0,1.0,1.381884884051257,0.0,0.0,6.625,9.08342,1.5004099999999996
csv,Position only,0.0,10.0,10.0,full,0.019817172046426423,0.010290131288102213,0.11227347793723896,40.0,0.005780025782568879,0.0,0.0,0.0,0.0,24.413851563342426,68.11034252361992,105.25812558448466,121.51189102102929,0.08165374677002583,1.7325287969293517,16.000000000000004,3200.0,0.125,0.208,1.6940599999999941
csv,Raw backward difference (original),0.0,0.0,10.0,full,0.02172473368087319,0.00949307716172048,0.15719114267725198,40.0,0.01117000475262513,0.1765807962529274,1.997357540716166,15.99999984,3199.999967999998,15.72510938422519,58.349050580446125,195.298279807059,444.9083708564859,0.18604651162790697,2.6297447857219143,16.000000000000004,3200.0,0.417,0.542,1.5967799999999879
csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.02653849698136944,0.012126859077631417,0.14327463807767016,20.0,0.025659387422433413,0.1765807962529274,2.796506297960272,15.99999984,3199.999967999998,50.38255804159733,172.5799521260281,350.0665528001409,489.04305140418626,0.4945736434108527,2.4802070150688875,16.000000000000004,3200.0,1.042,1.2916599999999998,1.708
csv,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,0.019321255900085592,0.009980336988445176,0.08755803656793937,10.0,0.018782003975827067,0.3002341920374707,2.6899625483248517,15.99999984,3199.9999679999983,50.0,167.63566018346913,305.3369558975867,462.2159217780738,0.5095607235142119,2.3161512933438817,16.000000000000004,3200.0,3.125,3.860719999999994,1.652719999999994
csv,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,0.042704508522661326,0.019985223061663532,0.1918605332680742,40.0,0.03875910351515191,0.4819672131147541,2.8438927523768753,15.99999984,3199.9999679999987,69.66045818848664,234.99348662529246,398.01833768017065,548.3233983902717,0.3462532299741602,2.770993915552561,16.000000000000004,3200.0,3.083,3.833,1.485719999999994
csv,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.02397667121154883,0.010510663806277586,0.16181448531099896,10.0,0.023374671760106106,0.003747072599531616,2.5087707836284716,15.99999984,274.2197766441911,60.0,92.54109597261974,271.72705619893065,391.49812950078314,0.8527131782945736,2.53407355654845,16.000000000000004,3200.0,3.083,3.861059999999994,1.667
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.019498598074023266,0.008124533649553907,0.14497727641134048,10.0,0.01902784693781075,0.003278688524590164,2.307789583993759,15.99999984,276.2647534634291,50.0,89.04498747757944,278.3425941054912,423.23139966934775,0.8330749354005168,2.5094337837907186,16.0,3200.0,12.0,14.318719999999994,1.6940599999999941
csv,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.0868586613183507,0.05829109850879722,0.34930833421929997,220.0,0.018855590529657015,0.0,1.4889037142905965,7.0014459320824525,130.6951706936167,50.0,50.0,50.0,50.0,1.0,1.4249667139114681,0.0,0.0,6.625,8.027719999999993,1.3190599999999941
