method,metric,n_trajectories,resamples,seed,confidence_level,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,q25,q75,iqr
estimator_rank_3::ca_kf_s1e-06_q100::predicted_p,position_rmse,120,10000,20270735,0.95,0.17754768192729783,0.13304550709808838,0.23005597283039608,0.08001417242411274,0.05503740835916073,0.13980881690914473,0.025911090514355126,0.23269721392330972,0.20678612340895458
estimator_rank_3::ca_kf_s1e-06_q100::raw_predicted_pv,position_rmse,120,10000,20270736,0.95,0.17587634189016227,0.13196487927978315,0.22811321929650452,0.07765821888707404,0.05449744587734912,0.1382669254781972,0.025322874862842626,0.23093051557557528,0.20560764071273266
estimator_rank_3::ca_kf_s1e-06_q100::scalar_projected_pva,position_rmse,120,10000,20270737,0.95,0.045222871478226775,0.026817183249777415,0.06911760048314844,0.012162198490735717,0.01101971903508488,0.014659587668993751,0.0052321659579455315,0.02142023760305729,0.016188071645111757
jerk_qp_pva_direct,position_rmse,120,10000,20270738,0.95,0.03321963831452265,0.021884557673943403,0.047223739483694786,0.012632955374887959,0.01013536938795473,0.014690043433509683,0.005399215005101245,0.022393153328028798,0.016993938322927553
jerk_qp_pva_ruckig,position_rmse,120,10000,20270739,0.95,0.03321963817554882,0.02194814529798011,0.04662897507578615,0.012632955391519388,0.010135369398763482,0.014083611793395456,0.0053992150050266065,0.02239315332648525,0.016993938321458645
one_step_governed_pva_direct,position_rmse,120,10000,20270740,0.95,0.04019145979209921,0.02282573105733751,0.0631184188190039,0.012630265385407118,0.01112349517257676,0.015584951439640341,0.005454743322113741,0.021517370168224925,0.016062626846111185
one_step_governed_pva_ruckig,position_rmse,120,10000,20270741,0.95,0.04019145978821281,0.023104968234643645,0.06274127357096003,0.01263026513472474,0.011151918366256,0.015584951428917158,0.005454743457006182,0.021517366986173223,0.01606262352916704
predicted_p,position_rmse,120,10000,20270742,0.95,0.17766167971631203,0.1323612234537102,0.2289961164070104,0.08001418852161732,0.055037404232042474,0.13982191317870804,0.02591112409797733,0.23269490710039167,0.20678378300241435
raw_predicted_pv,position_rmse,120,10000,20270743,0.95,0.1759127309924674,0.13107212168458254,0.22662496030846763,0.07765822734785709,0.05478578935735672,0.13674246975666163,0.025322866867571465,0.23094515964818524,0.20562229278061378
scalar_projected_pva,position_rmse,120,10000,20270744,0.95,0.046093229819663864,0.027822846504500443,0.06988319860604017,0.012630265385407118,0.011151918366265123,0.015584951439640341,0.005454743322113741,0.021517370168224925,0.016062626846111185
deployed_p_only,position_mae,120,10000,20271721,0.95,0.14594846987111448,0.10952341409781034,0.1882468299048763,0.061887314757354664,0.04446145359473571,0.11913103154638383,0.021331419748567663,0.1865794052276873,0.16524798547911962
estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,position_mae,120,10000,20271722,0.95,0.14594846987111448,0.10930566432757853,0.1889082341280634,0.061887314757354664,0.04502162662735522,0.11913103154638383,0.021331419748567663,0.1865794052276873,0.16524798547911962
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,position_mae,120,10000,20271723,0.95,0.030783435032644847,0.0198190941188098,0.04383596281144891,0.010700968776084077,0.008739580147066958,0.013291417336038886,0.004382640007564916,0.019283311865008965,0.014900671857444049
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,position_mae,120,10000,20271724,0.95,0.03078343524858971,0.019676018215419554,0.04388091206119016,0.010700968775642842,0.008820669283995369,0.013291421084224656,0.0043826400071709185,0.019283311831322952,0.014900671824152034
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,position_mae,120,10000,20271725,0.95,0.03528473935172763,0.02062191351989304,0.05476152729950925,0.010774787968626093,0.00975530363240584,0.013292334898312417,0.004581881213729409,0.019178295375507252,0.014596414161777843
