max_velocity_limit,max_acceleration_limit,max_jerk_limit,dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
4.1,12.0,400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.04246241232370367,0.024170953879646895,0.18830035452827376,50.0,0.03575211787767111,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,120.89154907050721,266.8764034330978,474.87830779545266,722.4583662835964,0.10284237726098192,2.40210887112578,12.0,400.00000000000006,1.083,1.666,2.0
4.1,12.0,800.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.042050910193212734,0.021185240721710658,0.22219689672626286,50.0,0.035859367926891525,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,85.86347684187749,243.65649267744325,417.0181065965376,680.7941169782715,0.2532299741602067,2.40404540664444,12.0,800.0,1.083,1.777719999999994,2.319059999999994
4.1,12.0,1600.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.03601319645053671,0.01872621590135559,0.1820907870923942,40.0,0.031099010765407095,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,67.71312609292559,227.306563512141,409.6593535769682,708.0081093456889,0.37467700258397935,2.378196529156922,12.000000000000002,1600.0,1.083,3.04166,1.792
4.1,12.0,3200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.03594291649784577,0.0182705631905928,0.16400153331983436,40.0,0.03132092415258604,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,59.66420988186867,217.24260000376313,413.5354461091581,575.6954519750392,0.43410852713178294,2.0432154500011515,12.000000000000002,2400.0,1.083,3.4432199999999757,2.152059999999994
4.1,12.0,6400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.03218902283155265,0.016085870179910172,0.15531861135354041,30.0,0.028411628864049285,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,55.35790913792616,207.81441513031166,414.5969282374766,616.6397013127978,0.46770025839793283,2.0532537951467242,12.000000000000002,2400.0,1.125,12.485219999999975,5.0
4.1,12.0,12800.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.03250380594058645,0.016058190229236987,0.15517076820915165,30.0,0.028683573295444947,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,53.67344331269623,203.42167563406656,396.2876497057931,582.410864021077,0.4754521963824289,2.17180479381706,12.000000000000002,2400.0,1.084,7.623339999999963,4.568719999999995
4.1,12.0,19200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.03227904558943943,0.01599182609706878,0.15753692997217184,30.0,0.02822730058286979,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,53.14243578893068,202.83120021181878,403.90024016807797,586.2380815963775,0.47751937984496123,2.1570224612961915,12.000000000000002,2400.0,1.125,13.011439999999952,8.622499999999945
4.1,12.0,25600.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.032267111771066184,0.015995993638483044,0.15692767920454415,30.0,0.028266064113044848,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,52.970661677133336,202.67091259053885,403.02704202160396,586.8022044290325,0.48010335917312663,2.163483888582473,12.000000000000002,2400.0,1.166,22.87777999999977,10.458
4.1,12.0,38400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.032145237688386265,0.015904814959305267,0.15682920335832784,30.0,0.02898718601253569,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,52.73561654754073,204.6317194574645,393.35906316704114,575.2212235462864,0.4785529715762274,2.038782708573187,12.0,2400.0,1.084,13.041159999999982,3.51227999999997
4.1,12.0,51200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.03209926978071869,0.015866418445666632,0.15714269476326537,30.0,0.028958148892472425,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,52.59209248789476,204.36690024272195,393.72763624532206,576.6038095584003,0.4790697674418605,2.026701675834848,12.0,2400.0,1.084,4.868339999999854,2.8185599999999758
4.1,16.0,20.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,1.0975835829097071,0.8277317178570655,2.4553447884794775,1000.0,1.009412390209729,0.22716627634660422,2.236175337423507,12.800979504077658,2353.1414793248346,1674.7450053776836,2669.464206455209,3293.273613681915,3783.7867979150524,0.007235142118863049,4.1,11.366563733831754,20.000000000000018,1.084,3.0,1.735719999999994
4.1,16.0,41.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.46855039826191386,0.26670743591870427,1.6488825336811828,740.0,0.38532184057740765,0.18032786885245902,2.5341160475094355,15.99999984,3186.9107445826494,742.635739100285,1562.716707173108,2029.3475793523937,2272.2088993616353,0.011886304909560724,3.712649473411258,16.0,41.000000000000014,1.083,2.721779999999988,1.4166599999999998
4.1,16.0,80.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.11846760718578292,0.06940377508438016,0.5170320188677731,190.0,0.09302681991769185,0.17704918032786884,2.788264551387058,15.99999984,3199.999967999998,341.32718445093036,759.8255028342824,1057.6589164875638,1234.8647373334773,0.023772609819121448,2.1409446458240278,15.219920595079051,80.00000000000007,1.084,3.665499999999982,2.125
4.1,16.0,200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.05711781524742018,0.031777913022241255,0.2335597202233158,90.0,0.04127891079038963,0.1765807962529274,2.796506297960272,15.99999984,3199.999967999998,167.05670208529057,347.98026933401593,572.620800605463,690.2242057151734,0.056330749354005165,2.236795511772522,16.0,200.00000000000009,1.083,1.652719999999994,1.777719999999994
4.1,16.0,400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.04717900407235838,0.026049407629753746,0.2777969161270903,60.0,0.037941637659419256,0.1765807962529274,2.796506297960272,15.99999984,3199.999967999998,126.01864687049355,273.81901980558735,425.66404594761576,558.7525870506001,0.08888888888888889,2.309277068267606,16.0,400.00000000000006,1.083,2.027059999999994,2.290499999999982
4.1,16.0,800.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.038436107061063374,0.02076268475083631,0.18216038409919222,30.0,0.0348211926085959,0.1765807962529274,2.796506297960272,15.99999984,3199.999967999998,89.85839558802786,234.78690973554345,397.3568512147739,496.9790791924573,0.2165374677002584,2.7139991477106116,16.0,800.0,1.083,2.582499999999982,2.29166
