dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
cubic,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.0006894344152455574,0.0006074484751729659,0.0010595955810684295,0.0,0.0006894344152455574,0.0,0.6035293897853774,1.4708991238395612,7.511520522335217,50.0,50.0,50.0,50.0,1.0,0.5869136967115339,0.0,0.0,1.125,1.5,1.2504099999999996
cubic,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,0.0007054686783926229,0.0006198635733104268,0.0010873836315654153,0.0,0.0007054686783926229,0.0,0.5928402158538787,1.584107844501714,8.092666897867339,50.0,50.0,50.0,50.0,1.0,0.5861560268660313,0.0,0.0,3.125,4.376669999999998,1.416
cubic,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,0.0006986249856758854,0.000614751743248778,0.0010749245719493539,0.0,0.0006986249856758854,0.0,0.5924430387734703,1.559256580054964,7.9686881490228485,50.0,50.0,50.0,50.0,1.0,0.5861995699408823,0.0,0.0,3.083,4.04101,1.5
cubic,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.0012574301258113292,0.0010802754170669195,0.002062093310269176,0.0,0.0012574301258113292,0.0,0.6368347297944741,1.4815924054349088,7.557028198574229,60.0,60.0,60.0,60.0,1.0,0.5887467931563377,0.0,0.0,3.167,4.084409999999999,2.5424099999999994
cubic,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.0008671835329724767,0.0007430439820131213,0.0014413797262175531,0.0,0.0008671835329724767,0.0,0.6299530054829325,1.4714838298709267,7.511185821181446,50.0,50.0,50.0,50.0,1.0,0.589951056835615,0.0,0.0,12.417,15.542,2.083
cubic,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.07472567708111078,0.06123125412610057,0.12474197210626402,230.0,0.008571757644603167,0.0,0.5406894845281103,1.229941994504062,6.189179510971553,50.0,50.0,50.0,50.0,1.0,0.5359420874543556,0.0,0.0,6.792,7.37583,1.375
sine,Position only,0.0,10.0,10.0,full,0.049457018673623836,0.030432161251319395,0.14553489621891358,70.0,0.015532615049752898,0.0,0.0,0.0,0.0,73.61677846285114,159.14932109075198,189.207994615969,189.67377285563074,0.09333333333333334,1.4649199374161719,8.2,1300.9162137043652,0.125,0.209,2.1254199999999996
sine,Raw backward difference (original),0.0,0.0,10.0,full,0.008211207028863866,0.0056908707941741455,0.02261242632885021,10.0,0.0017783420727298666,0.0,1.694482817664375,6.362914489752569,39.88713055063063,10.0,14.323285081723094,424.7644616760787,567.686884277788,0.62,1.7110717330953424,8.2,1255.6557421777463,0.417,0.6254199999999996,1.797409999999995
sine,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.0010280849231538195,0.0008945139703279342,0.001835236668267376,0.0,0.0010280849231538195,0.0,1.7639173731324786,6.362914489752569,39.88713055063063,50.0,50.0,50.0,50.0,1.0,1.6799651318113096,0.0,0.0,1.125,1.4594099999999997,1.4182399999999988
sine,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,0.0010044591825094746,0.000875735369183862,0.0018218431896787901,0.0,0.0010044591825094746,0.0,1.7029880273440967,7.035603782699459,44.70254922637444,50.0,50.0,50.0,50.0,1.0,1.6695927715886802,0.0,0.0,3.125,3.792829999999999,1.3754199999999996
sine,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,0.0010063076576678138,0.0008778940238189344,0.0018081088629094688,0.0,0.0010063076576678138,0.0,1.6999237714392783,6.88422552553595,43.603382774052534,50.0,50.0,50.0,50.0,1.0,1.6697379523988816,0.0,0.0,3.083,3.4174199999999995,1.3344099999999997
sine,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.0025611607653843113,0.0019297884984279428,0.006690154301207271,0.0,0.0025611607653843113,0.0,1.9471111004249755,6.430595666377811,40.310178116419294,60.0,60.0,60.0,60.0,1.0,1.7112167251572297,0.0,0.0,3.166,3.8330100000000003,2.501249999999999
sine,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.0018641894709101041,0.0013869011245191977,0.0049503092078096445,0.0,0.0018641894709101041,0.0,1.9075542260987912,6.371632172333384,39.89123504613009,50.0,50.0,50.0,50.0,1.0,1.7083053564933268,0.0,0.0,12.292,16.986489999999975,2.2504199999999996
sine,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.13395383071397687,0.10048401355263901,0.3276115339471176,220.0,0.025128865242601533,0.0,1.4033022182171013,5.2785232751520414,30.373954874554485,50.0,50.0,50.0,50.0,1.0,1.382587912825521,0.0,0.0,6.75,8.221069999999989,1.4588399999999992
csv,Position only,0.0,10.0,10.0,full,0.03515971778482614,0.017477287008383288,0.18452842848970727,70.0,0.014963530314872209,0.0,0.0,0.0,0.0,31.603535864893104,116.22662855854678,204.2159910562201,240.77908159818747,0.08837209302325581,1.5888728923893267,8.2,1639.9999999999998,0.166,0.209,1.791
csv,Raw backward difference (original),0.0,0.0,10.0,full,0.03871096356241053,0.016909342514616815,0.24049242424815687,70.0,0.023561191390016417,0.2955503512880562,1.932206320576263,8.199999918,1639.9999835999993,18.202252283607127,139.1674477966921,371.0808527851328,777.2025375621577,0.20568475452196383,2.214812653994528,8.200000000000001,1639.9999999999998,0.417,0.625,1.8610599999999942
csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.04914200995093343,0.024330651068231776,0.2604270285898605,50.0,0.043252889423130804,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,75.58419888412364,309.6264878397119,501.5507408797464,848.693474508986,0.35762273901808783,2.284895323420748,8.200000000000001,1639.9999999999998,1.125,1.416,1.459
csv,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,0.05018652443123206,0.023185660347224843,0.27775041311344034,60.0,0.04223049155453851,0.46510538641686183,1.9790138267952848,8.199999918,1639.9999835999993,69.53426244740425,279.0086929562162,463.19037414640627,596.6334991477733,0.36640826873385013,2.2427755769687483,8.2,1639.9999999999998,3.166,3.917,1.458
csv,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,0.07801665562482756,0.035214397428695025,0.4488436261275457,120.0,0.0597512131688324,0.609367681498829,2.159420787193549,8.199999918,1639.9999835999993,110.9787580124408,360.27022315131524,578.7276245569911,758.0042740457848,0.23359173126614988,2.2803156196929737,8.200000000000001,1640.0000000000002,3.083,3.917,1.375
csv,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.04606376375464808,0.01940296549644579,0.25369481692251244,40.0,0.04233780889215943,0.059484777517564404,2.208107298133537,8.199999918,260.5494581483729,60.0,247.31994550120578,497.18682501130087,844.9223170102595,0.6940568475452197,2.1834408660556064,8.200000000000001,1639.9999999999998,3.125,4.027719999999994,1.6666599999999998
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.045585371420942655,0.019148106519031614,0.2585676631671576,40.0,0.04205195113699495,0.04871194379391101,2.1693077168373254,8.199999918,263.9735701124864,50.0,254.80953280155043,532.1846181856369,874.0692342671125,0.6728682170542636,2.3267945382629818,8.2,1639.9999999999998,12.125,14.45866,1.6666599999999998
csv,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.08695950769131683,0.058348172172212324,0.34956679949591196,220.0,0.018659473739204794,0.0,1.4889037142905965,7.0014459320824525,130.6951706936167,50.0,50.0,50.0,50.0,1.0,1.4267740477804822,8.2,819.9999999999999,6.667,8.5,1.458
