method,jerk_semantic,max_abs_jerk
jerk_qp_pva_direct,direct_new_jerk,14.543624422027417
jerk_qp_pva_direct,direct_new_jerk,14.575211016136
jerk_qp_pva_direct,direct_new_jerk,14.788071331087215
jerk_qp_pva_direct,direct_new_jerk,145.32757008656884
jerk_qp_pva_direct,direct_new_jerk,145.34703758449228
jerk_qp_pva_direct,direct_new_jerk,15.193962476603096
jerk_qp_pva_direct,direct_new_jerk,150.92392820536955
jerk_qp_pva_direct,direct_new_jerk,16.924760061711474
jerk_qp_pva_direct,direct_new_jerk,169.61675639924496
jerk_qp_pva_direct,direct_new_jerk,17.63389950403066
jerk_qp_pva_direct,direct_new_jerk,17.668509634149608
jerk_qp_pva_direct,direct_new_jerk,17.761538632119027
jerk_qp_pva_direct,direct_new_jerk,18.056138654133875
jerk_qp_pva_direct,direct_new_jerk,18.12460067133911
jerk_qp_pva_direct,direct_new_jerk,18.465585341802402
jerk_qp_pva_direct,direct_new_jerk,18.613024452169213
jerk_qp_pva_direct,direct_new_jerk,18.646580700481774
jerk_qp_pva_direct,direct_new_jerk,18.780518430456688
jerk_qp_pva_direct,direct_new_jerk,18.830702945825795
jerk_qp_pva_direct,direct_new_jerk,18.91600818032952
jerk_qp_pva_direct,direct_new_jerk,181.79804958066845
jerk_qp_pva_direct,direct_new_jerk,19.248861675855178
jerk_qp_pva_direct,direct_new_jerk,19.668818607449488
jerk_qp_pva_direct,direct_new_jerk,19.751030492624647
jerk_qp_pva_direct,direct_new_jerk,19.827239462301005
jerk_qp_pva_direct,direct_new_jerk,19.96099268528471
jerk_qp_pva_direct,direct_new_jerk,2.443054032194613
jerk_qp_pva_direct,direct_new_jerk,20.152228758704055
jerk_qp_pva_direct,direct_new_jerk,20.18536120302321
jerk_qp_pva_direct,direct_new_jerk,20.462670598298303
jerk_qp_pva_direct,direct_new_jerk,20.98409666311168
jerk_qp_pva_direct,direct_new_jerk,21.051909777487392
jerk_qp_pva_direct,direct_new_jerk,21.33422232784855
jerk_qp_pva_direct,direct_new_jerk,21.40357693197438
jerk_qp_pva_direct,direct_new_jerk,21.74838173096714
jerk_qp_pva_direct,direct_new_jerk,21.992779325319063
jerk_qp_pva_direct,direct_new_jerk,217.28626959177774
jerk_qp_pva_direct,direct_new_jerk,22.103193679856325
jerk_qp_pva_direct,direct_new_jerk,22.56067855623338
jerk_qp_pva_direct,direct_new_jerk,23.271141367918926
jerk_qp_pva_direct,direct_new_jerk,23.773512582269596
jerk_qp_pva_direct,direct_new_jerk,23.908825325766923
jerk_qp_pva_direct,direct_new_jerk,24.062692955947266
jerk_qp_pva_direct,direct_new_jerk,241.5556381482817
jerk_qp_pva_direct,direct_new_jerk,249.01008373530212
jerk_qp_pva_direct,direct_new_jerk,26.739980805702512
jerk_qp_pva_direct,direct_new_jerk,27.62553018269016
jerk_qp_pva_direct,direct_new_jerk,28.574738410398393
jerk_qp_pva_direct,direct_new_jerk,28.790724458634674
jerk_qp_pva_direct,direct_new_jerk,284.0840776835222
jerk_qp_pva_direct,direct_new_jerk,293.1687409117253
jerk_qp_pva_direct,direct_new_jerk,3.9419224079881188
jerk_qp_pva_direct,direct_new_jerk,32.70914173544622
jerk_qp_pva_direct,direct_new_jerk,325.83466698006436
jerk_qp_pva_direct,direct_new_jerk,336.4995440341493
jerk_qp_pva_direct,direct_new_jerk,35.01059339607537
jerk_qp_pva_direct,direct_new_jerk,35.69562489520784
jerk_qp_pva_direct,direct_new_jerk,357.133992652143
jerk_qp_pva_direct,direct_new_jerk,37.76894363293112
jerk_qp_pva_direct,direct_new_jerk,37.83316016101136
jerk_qp_pva_direct,direct_new_jerk,37.99933020317059
jerk_qp_pva_direct,direct_new_jerk,38.634388371681815
jerk_qp_pva_direct,direct_new_jerk,38.645635904791675
jerk_qp_pva_direct,direct_new_jerk,38.98920614021457
jerk_qp_pva_direct,direct_new_jerk,39.62524041242622
jerk_qp_pva_direct,direct_new_jerk,39.66115783204318
jerk_qp_pva_direct,direct_new_jerk,39.671419623466655
jerk_qp_pva_direct,direct_new_jerk,391.8494267292203
jerk_qp_pva_direct,direct_new_jerk,394.0910926229986
jerk_qp_pva_direct,direct_new_jerk,4.625539344424407
jerk_qp_pva_direct,direct_new_jerk,406.9329716684283
jerk_qp_pva_direct,direct_new_jerk,41.251501665131094
jerk_qp_pva_direct,direct_new_jerk,43.76956004813329
jerk_qp_pva_direct,direct_new_jerk,44.6767213372711
jerk_qp_pva_direct,direct_new_jerk,5.304737610100178
jerk_qp_pva_direct,direct_new_jerk,504.21807390484116
jerk_qp_pva_direct,direct_new_jerk,52.45490384375204
jerk_qp_pva_direct,direct_new_jerk,550.5438057435748
jerk_qp_pva_direct,direct_new_jerk,56.10864689289839
jerk_qp_pva_direct,direct_new_jerk,56.37733871728905
jerk_qp_pva_direct,direct_new_jerk,56.513809794145374
jerk_qp_pva_direct,direct_new_jerk,57.214776604804214
jerk_qp_pva_direct,direct_new_jerk,575.6410403414985
jerk_qp_pva_direct,direct_new_jerk,58.92479231757539
jerk_qp_pva_direct,direct_new_jerk,58.970677241156
jerk_qp_pva_direct,direct_new_jerk,59.39229108748049
jerk_qp_pva_direct,direct_new_jerk,60.37870068973925
jerk_qp_pva_direct,direct_new_jerk,604.7849052451375
jerk_qp_pva_direct,direct_new_jerk,616.2882512938536
jerk_qp_pva_direct,direct_new_jerk,65.69769218283587
jerk_qp_pva_direct,direct_new_jerk,67.0040872065278
jerk_qp_pva_direct,direct_new_jerk,693.5859310042049
jerk_qp_pva_direct,direct_new_jerk,7.55406923100313
jerk_qp_pva_direct,direct_new_jerk,70.02833097956074
jerk_qp_pva_direct,direct_new_jerk,72.4961511675449
jerk_qp_pva_direct,direct_new_jerk,72.58605789440438
jerk_qp_pva_direct,direct_new_jerk,729.2767889373481
jerk_qp_pva_direct,direct_new_jerk,73.42982906571665
jerk_qp_pva_direct,direct_new_jerk,753.558888477423
jerk_qp_pva_direct,direct_new_jerk,758.7044485394828
jerk_qp_pva_direct,direct_new_jerk,76.69503415531521
jerk_qp_pva_direct,direct_new_jerk,8.284309944338627
jerk_qp_pva_direct,direct_new_jerk,8.330000120382744
jerk_qp_pva_direct,direct_new_jerk,8.511750434595859
jerk_qp_pva_direct,direct_new_jerk,85.24372050555655
jerk_qp_pva_direct,direct_new_jerk,87.75549664048313
jerk_qp_pva_direct,direct_new_jerk,9.273092295835953
jerk_qp_pva_direct,direct_new_jerk,9.663738204921241
jerk_qp_pva_direct,direct_new_jerk,93.83214668274985
jerk_qp_pva_direct,direct_new_jerk,99.75284942392257
jerk_qp_pva_direct,internal_profile,1.7375684802611173
jerk_qp_pva_direct,internal_profile,101.3381448356631
jerk_qp_pva_direct,internal_profile,102.84089177520377
jerk_qp_pva_direct,internal_profile,108.50788865043059
jerk_qp_pva_direct,internal_profile,113.31362335489865
jerk_qp_pva_direct,internal_profile,113.87361253503818
jerk_qp_pva_direct,internal_profile,119.43515251027704
jerk_qp_pva_direct,internal_profile,12.95097124013214
jerk_qp_pva_direct,internal_profile,12.952393419915852
jerk_qp_pva_direct,internal_profile,13.847890480404102
jerk_qp_pva_direct,internal_profile,14.543624422027417
jerk_qp_pva_direct,internal_profile,14.575211016136
jerk_qp_pva_direct,internal_profile,14.788071331087215
jerk_qp_pva_direct,internal_profile,145.32757008656884
jerk_qp_pva_direct,internal_profile,145.34703758449228
jerk_qp_pva_direct,internal_profile,15.193962476603096
jerk_qp_pva_direct,internal_profile,150.92392820536955
jerk_qp_pva_direct,internal_profile,16.924760061711474
jerk_qp_pva_direct,internal_profile,169.61675639924496
jerk_qp_pva_direct,internal_profile,17.63389950403066
jerk_qp_pva_direct,internal_profile,17.668509634149608
jerk_qp_pva_direct,internal_profile,17.761538632119027
jerk_qp_pva_direct,internal_profile,18.056138654133875
jerk_qp_pva_direct,internal_profile,18.12460067133911
jerk_qp_pva_direct,internal_profile,18.465585341802402
jerk_qp_pva_direct,internal_profile,18.613024452169213
jerk_qp_pva_direct,internal_profile,18.646580700481774
jerk_qp_pva_direct,internal_profile,18.780518430456688
jerk_qp_pva_direct,internal_profile,18.830702945825795
jerk_qp_pva_direct,internal_profile,18.91600818032952
jerk_qp_pva_direct,internal_profile,181.79804958066845
