method,total_compute_us
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.916
deployed_p_only,148.916
deployed_p_only,148.916
deployed_p_only,148.917
deployed_p_only,148.917
deployed_p_only,148.917
deployed_p_only,148.917
deployed_p_only,148.917
deployed_p_only,148.917
deployed_p_only,148.958
deployed_p_only,148.958
deployed_p_only,148.958
deployed_p_only,148.958
deployed_p_only,148.958
deployed_p_only,148.958
deployed_p_only,148.959
deployed_p_only,148.959
deployed_p_only,148.959
deployed_p_only,148.959
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.0
deployed_p_only,149.041
deployed_p_only,149.041
deployed_p_only,149.041
deployed_p_only,149.041
deployed_p_only,149.041
deployed_p_only,149.041
deployed_p_only,149.041
deployed_p_only,149.041
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.042
deployed_p_only,149.083
deployed_p_only,149.083
deployed_p_only,149.083
deployed_p_only,149.083
deployed_p_only,149.083
deployed_p_only,149.084
deployed_p_only,149.084
deployed_p_only,149.084
deployed_p_only,149.084
deployed_p_only,149.084
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
