run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,response_sample_count,response_start_time_s,response_end_time_s,joint_index,joint_id,frequency_hz,gain,phase_rad,phase_delay_s,group_delay_s
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,jerk_qp_pva_ruckig,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,0.4599831735375878,0.5701966253269654,0.03533266720923565,-0.012225161619985343,-0.5962379684490693
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,jerk_qp_pva_ruckig,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,0.6323604173767177,0.41988609240168157,0.49735691800228987,-0.12517673435252133,-0.2569308339326285
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,jerk_qp_pva_ruckig,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,1.1210317393139106,1.2671993996129292,-0.19047427953858326,0.027041984680100318,0.7049691377458319
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,jerk_qp_pva_ruckig,324,1,command_p,323,0.01,3.23,0,joint_0,0.5552966753942606,0.904678625199809,-0.27306768008281324,0.0782645980240371,-0.005422037668397157
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,jerk_qp_pva_ruckig,324,1,command_p,323,0.01,3.23,0,joint_0,0.6331842666386539,0.9160815886188509,-0.2644567934191056,0.06647291811327113,-0.029768809937428645
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,jerk_qp_pva_ruckig,324,1,command_p,323,0.01,3.23,0,joint_0,0.9913415985872082,0.9915309561932136,-0.07149495827885703,0.011478158520176265,-0.14172470506935203
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__014,test,120814,clean,jerk_qp_pva_ruckig,307,1,command_p,306,0.01,3.06,0,joint_0,0.4057980571309708,2.652088734880568,-0.4761812723465702,0.1867594040187449,-1.2388402310184743
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__014,test,120814,clean,jerk_qp_pva_ruckig,307,1,command_p,306,0.01,3.06,0,joint_0,0.7343096839069067,0.9079427497864629,0.5294807590415213,-0.11476013720144573,0.264408458566054
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__014,test,120814,clean,jerk_qp_pva_ruckig,307,1,command_p,306,0.01,3.06,0,joint_0,0.8724157210993015,1.0289904066120954,0.025849101348128418,-0.004715655798653062,0.8963730604605864
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__017,test,120817,clean,jerk_qp_pva_ruckig,256,1,command_p,255,0.01,2.55,0,joint_0,0.28757489185499024,1.416776869708077,-0.9932434230004958,0.5496988956315245,-1.19062936045653
