run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,event_id,event_type,event_time_s,joint_index,joint_id,lag_samples,lag_s,lag_aligned_rmse,window_before_s,window_after_s,max_lag_s
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,reversal-j0-k72,reversal,0.715,0,joint_0,3,0.030000000000000027,0.001049826562956681,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k93,stop,0.93,0,joint_0,3,0.030000000000000027,0.0010980822750635232,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k114,stop,1.1400000000000001,0,joint_0,3,0.030000000000000027,0.0010459387263497346,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k136,stop,1.36,0,joint_0,3,0.030000000000000027,0.0011113573171407354,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k157,stop,1.57,0,joint_0,3,0.030000000000000027,0.0010592821902414007,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k179,stop,1.79,0,joint_0,3,0.030000000000000027,0.0011249973487746075,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k200,stop,2.0,0,joint_0,3,0.029999999999999805,0.001077458056303458,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k222,stop,2.22,0,joint_0,3,0.029999999999999805,0.0011699189276480506,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k243,stop,2.43,0,joint_0,3,0.029999999999999805,0.0011083833785754742,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,reversal-j0-k265,reversal,2.645,0,joint_0,3,0.029999999999999805,0.0010454187217791033,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,stop-j0-k11,stop,0.11,0,joint_0,3,0.03,0.0010962766232612087,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,reversal-j0-k13,reversal,0.115,0,joint_0,3,0.03,0.0010991002692577868,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,stop-j0-k53,stop,0.53,0,joint_0,5,0.04999999999999999,0.0020757954517254774,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,stop-j0-k94,stop,0.9400000000000001,0,joint_0,5,0.050000000000000044,0.002144583089440549,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,stop-j0-k135,stop,1.35,0,joint_0,5,0.050000000000000044,0.0021261702987263043,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,reversal-j0-k137,reversal,1.355,0,joint_0,5,0.050000000000000044,0.001952810893963824,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,stop-j0-k176,stop,1.76,0,joint_0,5,0.050000000000000044,0.002116982981538982,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,reversal-j0-k178,reversal,1.7650000000000001,0,joint_0,5,0.050000000000000044,0.0019107689621494638,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,stop-j0-k218,stop,2.18,0,joint_0,5,0.04999999999999982,0.0021050753024708236,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,stop-j0-k259,stop,2.59,0,joint_0,5,0.04999999999999982,0.0021578545092875183,0.1,0.1,0.05
