method,position_rmse
jerk_qp_pva_ruckig,0.00843450672503944
jerk_qp_pva_ruckig,0.00851589650769599
jerk_qp_pva_ruckig,0.008809955348900467
jerk_qp_pva_ruckig,0.009246627431694581
jerk_qp_pva_ruckig,0.010035152352864889
jerk_qp_pva_ruckig,0.010186608186850202
jerk_qp_pva_ruckig,0.010318050950666676
jerk_qp_pva_ruckig,0.01043548157945091
jerk_qp_pva_ruckig,0.011518174844456497
jerk_qp_pva_ruckig,0.012098959401121405
jerk_qp_pva_ruckig,0.012649559827629036
jerk_qp_pva_ruckig,0.01265026623845684
jerk_qp_pva_ruckig,0.012671147189033585
jerk_qp_pva_ruckig,0.012683835137495962
jerk_qp_pva_ruckig,0.012917840761451627
jerk_qp_pva_ruckig,0.013313732853319977
jerk_qp_pva_ruckig,0.013400131928066366
jerk_qp_pva_ruckig,0.013754073690908303
jerk_qp_pva_ruckig,0.014805771224800538
jerk_qp_pva_ruckig,0.015102885410795783
jerk_qp_pva_ruckig,0.015582049549619077
jerk_qp_pva_ruckig,0.016050503319403452
jerk_qp_pva_ruckig,0.016711136974354047
jerk_qp_pva_ruckig,0.017035550187628007
jerk_qp_pva_ruckig,0.017089804609447642
jerk_qp_pva_ruckig,0.017288792653941017
jerk_qp_pva_ruckig,0.01736469494449901
jerk_qp_pva_ruckig,0.01772480345811924
jerk_qp_pva_ruckig,0.017732166986488003
jerk_qp_pva_ruckig,0.01774635470205646
jerk_qp_pva_ruckig,0.01778813447217058
jerk_qp_pva_ruckig,0.01784387269480342
jerk_qp_pva_ruckig,0.018146326237161454
jerk_qp_pva_ruckig,0.01846805250962478
jerk_qp_pva_ruckig,0.01850507750707904
jerk_qp_pva_ruckig,0.01873407383276431
jerk_qp_pva_ruckig,0.019293746906127684
jerk_qp_pva_ruckig,0.019682769602260876
jerk_qp_pva_ruckig,0.019921671063342843
jerk_qp_pva_ruckig,0.020319727465150393
jerk_qp_pva_ruckig,0.023753432930924304
jerk_qp_pva_ruckig,0.023849576248277164
jerk_qp_pva_ruckig,0.02410156387853454
jerk_qp_pva_ruckig,0.024154068863950696
jerk_qp_pva_ruckig,0.0241609421995124
jerk_qp_pva_ruckig,0.024197595378381575
jerk_qp_pva_ruckig,0.024226831632519152
jerk_qp_pva_ruckig,0.024517239278819297
jerk_qp_pva_ruckig,0.0258462359641664
jerk_qp_pva_ruckig,0.029841119067321294
jerk_qp_pva_ruckig,0.030728884452862346
jerk_qp_pva_ruckig,0.032051535475635565
jerk_qp_pva_ruckig,0.03265050930717807
jerk_qp_pva_ruckig,0.0334161261326489
jerk_qp_pva_ruckig,0.03376391643094255
jerk_qp_pva_ruckig,0.03586105144046874
jerk_qp_pva_ruckig,0.03885653548675705
jerk_qp_pva_ruckig,0.04710897971949829
jerk_qp_pva_ruckig,0.05017473251444118
jerk_qp_pva_ruckig,0.05270179028012041
jerk_qp_pva_ruckig,0.05316729552970679
jerk_qp_pva_ruckig,0.057295525946027645
jerk_qp_pva_ruckig,0.057924297560479183
jerk_qp_pva_ruckig,0.06030158703357905
jerk_qp_pva_ruckig,0.06081230351751672
jerk_qp_pva_ruckig,0.064587950563813
jerk_qp_pva_ruckig,0.10520004572171861
jerk_qp_pva_ruckig,0.10558837617494383
jerk_qp_pva_ruckig,0.15455056717625323
jerk_qp_pva_ruckig,0.16490924771724372
jerk_qp_pva_ruckig,0.25517396179045587
jerk_qp_pva_ruckig,0.5260316563567533
jerk_qp_pva_ruckig,0.845262938184845
jerk_qp_pva_ruckig,1.460132269990955
one_step_governed_pva_direct,0.0007454784335733759
one_step_governed_pva_direct,0.0010656244868366411
one_step_governed_pva_direct,0.0013195481700256331
one_step_governed_pva_direct,0.0013550003620084352
one_step_governed_pva_direct,0.0014001651200154942
one_step_governed_pva_direct,0.0015519511682908435
one_step_governed_pva_direct,0.0018344634558428365
one_step_governed_pva_direct,0.0019245644072945546
one_step_governed_pva_direct,0.002659573278130651
one_step_governed_pva_direct,0.002870826316177989
one_step_governed_pva_direct,0.0035766113377652636
one_step_governed_pva_direct,0.003969074195196281
one_step_governed_pva_direct,0.004049769816821299
one_step_governed_pva_direct,0.004075910177065839
one_step_governed_pva_direct,0.004092756650721654
one_step_governed_pva_direct,0.004144915689753651
one_step_governed_pva_direct,0.004344093818210483
one_step_governed_pva_direct,0.0043543174794580764
one_step_governed_pva_direct,0.004407968986575235
one_step_governed_pva_direct,0.004446552687145658
one_step_governed_pva_direct,0.0044994806338561
one_step_governed_pva_direct,0.004506051410578491
one_step_governed_pva_direct,0.004558915697266743
one_step_governed_pva_direct,0.00464325015047002
one_step_governed_pva_direct,0.00465503385009901
one_step_governed_pva_direct,0.004769176956438904
one_step_governed_pva_direct,0.004777084621622823
one_step_governed_pva_direct,0.004780712024811138
one_step_governed_pva_direct,0.004784694518520093
one_step_governed_pva_direct,0.0047911839200027095
one_step_governed_pva_direct,0.004808076213747086
one_step_governed_pva_direct,0.004883897470424046
one_step_governed_pva_direct,0.005103295074557869
one_step_governed_pva_direct,0.005104756740719687
one_step_governed_pva_direct,0.005137659425050972
one_step_governed_pva_direct,0.005165873360864122
one_step_governed_pva_direct,0.005445470612074462
one_step_governed_pva_direct,0.0054470823045557745
one_step_governed_pva_direct,0.005450381110614646
one_step_governed_pva_direct,0.005533783781366093
one_step_governed_pva_direct,0.005766535666912185
one_step_governed_pva_direct,0.005972825869204212
one_step_governed_pva_direct,0.006379699107167388
one_step_governed_pva_direct,0.006859240600485514
one_step_governed_pva_direct,0.006916047407021148
one_step_governed_pva_direct,0.007428514718732406
one_step_governed_pva_direct,0.008306208055296763
one_step_governed_pva_direct,0.008345345167524392
one_step_governed_pva_direct,0.008442386543822705
one_step_governed_pva_direct,0.00851589620992937
one_step_governed_pva_direct,0.008817830504196968
one_step_governed_pva_direct,0.009269703148513692
one_step_governed_pva_direct,0.010035156024971409
one_step_governed_pva_direct,0.01018660761434603
one_step_governed_pva_direct,0.010318050983119357
one_step_governed_pva_direct,0.010452636484983673
one_step_governed_pva_direct,0.011646070287068884
one_step_governed_pva_direct,0.012535320691853955
one_step_governed_pva_direct,0.01304191200598645
one_step_governed_pva_direct,0.013065697570903362
one_step_governed_pva_direct,0.013072131965188045
one_step_governed_pva_direct,0.013076321575973788
one_step_governed_pva_direct,0.013076878099642565
one_step_governed_pva_direct,0.013313732853771014
one_step_governed_pva_direct,0.013415116915490527
one_step_governed_pva_direct,0.013773508851495874
