method,governor_position_distortion_rmse,one_step_reachable_rate
jerk_qp_pva_ruckig,0.0023806138914494786,1.0
jerk_qp_pva_ruckig,0.0023928921606653037,1.0
jerk_qp_pva_ruckig,0.00240428944267381,1.0
jerk_qp_pva_ruckig,0.002415658200815826,1.0
jerk_qp_pva_ruckig,0.0024788633058415305,1.0
jerk_qp_pva_ruckig,0.002499065320108265,1.0
jerk_qp_pva_ruckig,0.002509521460475242,1.0
jerk_qp_pva_ruckig,0.002703118930644043,1.0
jerk_qp_pva_ruckig,0.002756237174663957,1.0
jerk_qp_pva_ruckig,0.0027577456757600124,1.0
jerk_qp_pva_ruckig,0.0027926715571132423,1.0
jerk_qp_pva_ruckig,0.002958910701212742,1.0
jerk_qp_pva_ruckig,0.00305478702313641,1.0
jerk_qp_pva_ruckig,0.003124765779750829,1.0
jerk_qp_pva_ruckig,0.0032726901382902607,1.0
jerk_qp_pva_ruckig,0.0032840191625233004,1.0
jerk_qp_pva_ruckig,0.0033664417557807834,1.0
jerk_qp_pva_ruckig,0.003447998852485486,1.0
jerk_qp_pva_ruckig,0.003503729730314159,1.0
jerk_qp_pva_ruckig,0.0036280154554649826,1.0
jerk_qp_pva_ruckig,0.0036742882077308763,1.0
jerk_qp_pva_ruckig,0.003736231561481482,1.0
jerk_qp_pva_ruckig,0.00376777941994679,1.0
jerk_qp_pva_ruckig,0.0037711755779373207,1.0
jerk_qp_pva_ruckig,0.0038115532996075845,1.0
jerk_qp_pva_ruckig,0.003854568199279627,1.0
jerk_qp_pva_ruckig,0.003887635444692901,1.0
jerk_qp_pva_ruckig,0.003902545056889471,1.0
jerk_qp_pva_ruckig,0.003930266434958049,1.0
jerk_qp_pva_ruckig,0.004007813544384958,1.0
jerk_qp_pva_ruckig,0.004038612335679918,1.0
jerk_qp_pva_ruckig,0.004113398593303551,1.0
jerk_qp_pva_ruckig,0.004169983362175699,1.0
jerk_qp_pva_ruckig,0.004237185147135547,1.0
jerk_qp_pva_ruckig,0.004322999830368026,1.0
jerk_qp_pva_ruckig,0.004333155008453124,1.0
jerk_qp_pva_ruckig,0.004346456427487225,1.0
jerk_qp_pva_ruckig,0.0043849291070816145,1.0
jerk_qp_pva_ruckig,0.004647691846759374,1.0
jerk_qp_pva_ruckig,0.004907281974910089,1.0
jerk_qp_pva_ruckig,0.004985915583172708,1.0
jerk_qp_pva_ruckig,0.005072683830602776,1.0
jerk_qp_pva_ruckig,0.005073564705533281,1.0
jerk_qp_pva_ruckig,0.005192964815038603,1.0
