plant,method,position_rmse
servo_b16_z1_d10,previous_command,0.014634443795303482
servo_b16_z1_d10,previous_command,0.017116468658664622
servo_b16_z1_d10,previous_command,0.01722022905341072
servo_b16_z1_d10,previous_command,0.01732833348661527
servo_b16_z1_d10,previous_command,0.018576748016669697
servo_b16_z1_d10,previous_command,0.02291243553019947
servo_b16_z1_d10,previous_command,0.027950869716801937
servo_b16_z1_d10,previous_command,0.02808109613314044
servo_b16_z1_d10,previous_command,0.03492764442266259
servo_b16_z1_d10,previous_command,0.046922505766949556
servo_b16_z1_d10,previous_command,0.04818717862163188
servo_b16_z1_d10,previous_command,0.10414063739849123
servo_b16_z1_d10,previous_command,0.11149561614125565
servo_b16_z1_d20,hybrid,0.014802638240770369
servo_b16_z1_d20,hybrid,0.020116566988419786
servo_b16_z1_d20,hybrid,0.0219510103146027
servo_b16_z1_d20,hybrid,0.022142393620338856
servo_b16_z1_d20,hybrid,0.02827402259299326
servo_b16_z1_d20,hybrid,0.03010402663521226
servo_b16_z1_d20,hybrid,0.03366636334054526
servo_b16_z1_d20,hybrid,0.0353134876706663
servo_b16_z1_d20,hybrid,0.05056611493712716
servo_b16_z1_d20,hybrid,0.056942859545639275
servo_b16_z1_d20,hybrid,0.08550844642104775
servo_b16_z1_d20,hybrid,0.09318319915260873
servo_b16_z1_d20,hybrid,0.13840536998664757
servo_b16_z1_d20,hybrid,0.1472584019329526
servo_b16_z1_d20,hybrid,0.4460846660508416
servo_b16_z1_d20,hybrid,0.45257753314474697
servo_b16_z1_d20,hybrid,0.9203416211379584
servo_b16_z1_d20,hybrid,0.9781149512427393
servo_b16_z1_d20,hybrid,1.140119324351369
servo_b16_z1_d20,hybrid,1.6604798819504893
servo_b16_z1_d20,hybrid,2.1228594900211126
servo_b16_z1_d20,hybrid,2.582677849724241
servo_b16_z1_d20,hybrid,3.761227699168924
servo_b16_z1_d20,hybrid,5.048302737704633
servo_b16_z1_d20,measured,0.01991404201064592
servo_b16_z1_d20,measured,0.021630368276771707
servo_b16_z1_d20,measured,0.022900597269301638
servo_b16_z1_d20,measured,0.026420727018123057
servo_b16_z1_d20,measured,0.0307850155422843
servo_b16_z1_d20,measured,0.03205643263127837
servo_b16_z1_d20,measured,0.033157608752477606
servo_b16_z1_d20,measured,0.03538666500550308
servo_b16_z1_d20,measured,0.053191300329242706
servo_b16_z1_d20,measured,0.05471111709086403
servo_b16_z1_d20,measured,0.08430194683183721
servo_b16_z1_d20,measured,0.0929242199394593
servo_b16_z1_d20,measured,0.13846193711602406
servo_b16_z1_d20,measured,0.14449065707944342
servo_b16_z1_d20,measured,0.4147413393579937
servo_b16_z1_d20,measured,0.4584703004700999
servo_b16_z1_d20,measured,0.9504598380424527
servo_b16_z1_d20,measured,0.9528293908666722
servo_b16_z1_d20,measured,1.1755120107745958
servo_b16_z1_d20,measured,1.6617327295209359
servo_b16_z1_d20,measured,2.1227561496619294
servo_b16_z1_d20,measured,2.5332045895349844
servo_b16_z1_d20,measured,3.771522771620395
servo_b16_z1_d20,measured,5.013246811531271
servo_b16_z1_d20,previous_command,0.003450466762431556
servo_b16_z1_d20,previous_command,0.00397965452564444
servo_b16_z1_d20,previous_command,0.004771259728390637
servo_b16_z1_d20,previous_command,0.006283861866485628
servo_b16_z1_d20,previous_command,0.009235487615950964
servo_b16_z1_d20,previous_command,0.00942802665617291
servo_b16_z1_d20,previous_command,0.010074467568545206
servo_b16_z1_d20,previous_command,0.011788777690593142
servo_b16_z1_d20,previous_command,0.01292330792256709
servo_b16_z1_d20,previous_command,0.01387064264532059
servo_b16_z1_d20,previous_command,0.014715322734269422
servo_b16_z1_d20,previous_command,0.015195415565113609
servo_b16_z1_d20,previous_command,0.017398329650093473
servo_b16_z1_d20,previous_command,0.02606731665472945
servo_b16_z1_d20,previous_command,0.028271807172392915
servo_b16_z1_d20,previous_command,0.028527566822967424
servo_b16_z1_d20,previous_command,0.037951915221938685
servo_b16_z1_d20,previous_command,0.04171116147966091
servo_b16_z1_d20,previous_command,0.04759925778525828
servo_b16_z1_d20,previous_command,0.04819111134717391
servo_b16_z1_d20,previous_command,0.057241705973577466
servo_b16_z1_d20,previous_command,0.05914411921268674
servo_b16_z1_d20,previous_command,0.10462637681180378
servo_b16_z1_d20,previous_command,0.11150188987497016
servo_b4_z0.7_d0,hybrid,0.254369222824996
servo_b4_z0.7_d0,hybrid,0.3577184182644535
servo_b4_z0.7_d0,hybrid,0.5447606708652033
servo_b4_z0.7_d0,hybrid,0.8421682683482303
servo_b4_z0.7_d0,hybrid,0.8454658047663713
servo_b4_z0.7_d0,hybrid,0.9208320854656729
servo_b4_z0.7_d0,hybrid,1.2470186064690145
servo_b4_z0.7_d0,hybrid,1.3172062523111914
servo_b4_z0.7_d0,hybrid,1.3416431796239243
servo_b4_z0.7_d0,hybrid,1.499611818016267
servo_b4_z0.7_d0,hybrid,1.55360128185103
servo_b4_z0.7_d0,hybrid,1.5581992650530618
servo_b4_z0.7_d0,hybrid,1.7926464462653733
servo_b4_z0.7_d0,hybrid,1.9709257519434848
servo_b4_z0.7_d0,hybrid,2.104071238063488
servo_b4_z0.7_d0,hybrid,2.107823082787481
servo_b4_z0.7_d0,hybrid,2.3719488479518915
