method,estimator_p_rmse,posterior_lag_s,estimator_p99_us
ca_kf_s0.0001_q10,3.2462114388887855e-06,0.0,31.868279999999995
ca_kf_s0.0001_q10,3.3915357433301825e-05,0.0,33.16424999999999
ca_kf_s0.0001_q10,3.407283119330322e-07,0.0,33.42096
ca_kf_s0.0001_q10,3.425969862911129e-05,0.0,33.040749999999996
ca_kf_s0.0001_q10,3.626599227615817e-05,0.0,32.39306
ca_kf_s0.0001_q10,3.8488137199782333e-07,0.0,32.970000000000006
ca_kf_s0.0001_q10,3.978706905463721e-06,0.0,32.2538
ca_kf_s0.0001_q10,4.052350523888889e-05,0.0,32.012330000000006
ca_kf_s0.0001_q10,4.279435099593568e-05,0.0,32.09348
ca_kf_s0.0001_q10,4.338084634418492e-06,0.0,40.213
ca_kf_s0.0001_q10,4.450128214963579e-06,0.0,33.02674999999998
ca_kf_s0.0001_q10,4.605689358310216e-05,0.0,33.396
ca_kf_s0.0001_q10,4.6456523330119274e-05,0.0,30.683989999999984
ca_kf_s0.0001_q10,5.104990266013133e-06,0.0,32.22012000000001
ca_kf_s0.0001_q10,5.111203430234926e-06,0.0,31.39566000000001
ca_kf_s0.0001_q10,5.143873315529931e-05,0.0,34.544499999999964
ca_kf_s0.0001_q10,5.515727903654369e-06,0.0,33.64324000000001
ca_kf_s0.0001_q10,5.813091644948631e-06,0.0,40.334
ca_kf_s0.0001_q10,6.101908796538794e-06,0.0,40.41125
ca_kf_s0.0001_q10,6.652968388455829e-07,0.0,32.6229
ca_kf_s0.0001_q10,7.131821031454669e-05,0.0,32.958580000000005
ca_kf_s0.0001_q10,7.678046094902324e-06,0.0,32.31424999999998
ca_kf_s0.0001_q10,7.831619746305519e-06,0.0,32.34500000000003
ca_kf_s0.0001_q10,8.154972422778247e-05,0.0,32.48320000000002
ca_kf_s0.0001_q10,8.242658390372847e-05,0.0,32.05012
ca_kf_s0.0001_q10,8.288378744595466e-06,0.0,31.80512
ca_kf_s0.0001_q10,8.415838021672124e-05,0.0,32.628
ca_kf_s0.0001_q10,8.726105114664698e-06,0.0,32.334999999999994
ca_kf_s0.0001_q10,9.308084400807391e-06,0.0,33.415000000000006
ca_kf_s0.0001_q10,9.349197230589425e-06,0.0,35.80344
ca_kf_s0.0001_q10,9.356741282875682e-06,0.0,33.45464000000001
ca_kf_s0.0001_q10,9.392148354522507e-06,0.0,33.8275
ca_kf_s0.0001_q10,9.811934182129372e-07,0.0,32.57788
ca_kf_s0.0001_q10,9.887730078267571e-06,0.0,32.90999999999997
ca_kf_s0.0001_q10,9.959053589281474e-06,0.0,32.42227999999998
ca_kf_s0.0001_q100,1.0030858896559329e-05,0.0,31.69771999999999
ca_kf_s0.0001_q100,1.0054092578778948e-05,0.0,40.901559999999996
ca_kf_s0.0001_q100,1.0108402889162226e-06,0.0,33.08468
ca_kf_s0.0001_q100,1.0233045968211804e-06,0.0,31.885199999999994
ca_kf_s0.0001_q100,1.0624448691867617e-05,0.0,36.979
ca_kf_s0.0001_q100,1.0716934546699774e-05,0.0,31.97124999999997
ca_kf_s0.0001_q100,1.1272852661646235e-06,0.0,33.35782999999999
ca_kf_s0.0001_q100,1.175249007237792e-06,0.0,34.42116000000001
ca_kf_s0.0001_q100,1.3298682054832184e-05,0.0,33.54042
ca_kf_s0.0001_q100,1.353266521811865e-06,0.0,33.50802999999997
ca_kf_s0.0001_q100,1.361617361691719e-06,0.0,139.96684000000025
ca_kf_s0.0001_q100,1.4303961874916234e-06,0.0,32.337040000000016
ca_kf_s0.0001_q100,1.6446919385849842e-05,0.0,32.99833
ca_kf_s0.0001_q100,1.6468368002334176e-06,0.0,32.041399999999996
ca_kf_s0.0001_q100,1.7278685812671328e-05,0.0,32.49624999999998
