trajectory_id,follower,position_rmse
rapid_reversal__v3__test__014,ruckig,0.05363764073973033
rapid_reversal__v3__test__015,direct,0.014052641770215027
rapid_reversal__v3__test__015,ruckig,0.014052642794352801
rapid_reversal__v3__test__016,direct,0.005300182400140459
rapid_reversal__v3__test__016,ruckig,0.0053001832658550055
rapid_reversal__v3__test__017,direct,0.0159674438854886
rapid_reversal__v3__test__017,ruckig,0.01596744393140817
rapid_reversal__v3__test__018,direct,0.004728151343635137
rapid_reversal__v3__test__018,ruckig,0.004728151414066945
rapid_reversal__v3__test__019,direct,0.0879606263427159
rapid_reversal__v3__test__019,ruckig,0.08796062741121542
stationary_endpoint__v3__test__000,direct,0.004916239747602473
stationary_endpoint__v3__test__000,ruckig,0.004916239747602605
stationary_endpoint__v3__test__001,direct,0.011592688131811812
stationary_endpoint__v3__test__001,ruckig,0.011592688131990861
stationary_endpoint__v3__test__002,direct,0.018501782125923835
stationary_endpoint__v3__test__002,ruckig,0.018501782125923082
stationary_endpoint__v3__test__003,direct,0.023095582445857146
stationary_endpoint__v3__test__003,ruckig,0.02309558244585735
stationary_endpoint__v3__test__004,direct,0.0049847538010480575
stationary_endpoint__v3__test__004,ruckig,0.004984753801047987
stationary_endpoint__v3__test__005,direct,0.011958313712277442
stationary_endpoint__v3__test__005,ruckig,0.011958313713088295
stationary_endpoint__v3__test__006,direct,0.018684382913201496
stationary_endpoint__v3__test__006,ruckig,0.018684382913201476
stationary_endpoint__v3__test__007,direct,0.0208184320415345
stationary_endpoint__v3__test__007,ruckig,0.02081843205107706
stationary_endpoint__v3__test__008,direct,0.004895890414429682
stationary_endpoint__v3__test__008,ruckig,0.004895890414429653
stationary_endpoint__v3__test__009,direct,0.010969507374072568
stationary_endpoint__v3__test__009,ruckig,0.010969507374098597
stationary_endpoint__v3__test__010,direct,0.01683372847311635
stationary_endpoint__v3__test__010,ruckig,0.01683372847318606
stationary_endpoint__v3__test__011,direct,0.02278421553240372
stationary_endpoint__v3__test__011,ruckig,0.022784215532403992
stationary_endpoint__v3__test__012,direct,0.0044045424840257535
stationary_endpoint__v3__test__012,ruckig,0.004404542484037548
stationary_endpoint__v3__test__013,direct,0.011535917370191252
stationary_endpoint__v3__test__013,ruckig,0.011535917370356969
stationary_endpoint__v3__test__014,direct,0.016694782226018005
stationary_endpoint__v3__test__014,ruckig,0.016694782226125218
stationary_endpoint__v3__test__015,direct,0.02212225138570017
stationary_endpoint__v3__test__015,ruckig,0.022122251424762006
stationary_endpoint__v3__test__016,direct,0.004888952720157088
stationary_endpoint__v3__test__016,ruckig,0.004888952720157088
stationary_endpoint__v3__test__017,direct,0.012396907043159898
stationary_endpoint__v3__test__017,ruckig,0.012396907043159894
stationary_endpoint__v3__test__018,direct,0.01644714492581372
stationary_endpoint__v3__test__018,ruckig,0.016447144925842608
stationary_endpoint__v3__test__019,direct,0.023056948274062683
stationary_endpoint__v3__test__019,ruckig,0.023056948274062586
stop_and_go__v3__test__000,direct,0.002473015929332436
stop_and_go__v3__test__000,ruckig,0.0024730159340932995
stop_and_go__v3__test__001,direct,0.005512789595549594
stop_and_go__v3__test__001,ruckig,0.005512789595935126
stop_and_go__v3__test__002,direct,0.00881402089644802
stop_and_go__v3__test__002,ruckig,0.008814020896447993
stop_and_go__v3__test__003,direct,0.014804713647274322
stop_and_go__v3__test__003,ruckig,0.014804713647626776
stop_and_go__v3__test__004,direct,0.0026305869570316326
stop_and_go__v3__test__004,ruckig,0.0026305869568577843
stop_and_go__v3__test__005,direct,0.005362452329737138
stop_and_go__v3__test__005,ruckig,0.005362453054138833
stop_and_go__v3__test__006,direct,0.008317687038000086
stop_and_go__v3__test__006,ruckig,0.00831768703704058
stop_and_go__v3__test__007,direct,0.010544303075071804
stop_and_go__v3__test__007,ruckig,0.010544303074947983
stop_and_go__v3__test__008,direct,0.0021884887450525064
stop_and_go__v3__test__008,ruckig,0.002188488754919825
stop_and_go__v3__test__009,direct,0.0054597379177631165
stop_and_go__v3__test__009,ruckig,0.005459738092439618
