experiment,dataset,method_id,method,result_group,target_components,derivative_source,causal,future_samples,native_delay_samples,target_timing,evaluation_start_index,evaluation_stop_index_exclusive,sweep_type,sweep_value,max_velocity_limit,max_acceleration_limit,max_jerk_limit,minimum_duration_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,raw_target_feasible_rate,target_projection_rate,projection_velocity_rmse,projection_acceleration_rmse,raw_target_max_velocity,raw_target_max_acceleration,raw_target_max_sampled_jerk,projected_target_max_velocity,projected_target_max_acceleration,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,reachable_within_10ms_rate,output_max_velocity,output_max_acceleration,output_max_new_jerk,output_max_sampled_jerk,output_velocity_saturation_rate,output_acceleration_saturation_rate,output_new_jerk_saturation_rate,ruckig_compute_p99_us,ruckig_compute_max_us,settle_time_to_1e3_ms,settle_max_error,settle_final_error
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,1600.0,4.1,8.2,1600.0,10.0,0.00931350231319919,0.007599427427228562,0.015060871019032418,10.0,0.00012323447530995706,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,10.0,10.40501718489769,12.664162517199824,0.8087248322147651,1.506168013579929,8.2,1600.0,819.9999999996149,0.0,0.003355704697986577,0.18791946308724833,2.126259999999999,2.542,0.0,1.865174681370263e-14,1.865174681370263e-14
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,3200.0,4.1,8.2,3200.0,10.0,0.009275317576841441,0.007550334543084183,0.015060871019032418,10.0,9.665920876579883e-17,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,10.0,10.0,10.0,1.0,1.506168013579929,6.061817714453355e-14,0.0,1.031952301389083e-11,0.0,0.0,0.0,2.125,2.417,0.0,9.547918011776346e-15,9.547918011776346e-15
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,4000.0,4.1,8.2,4000.0,10.0,0.00927531757684144,0.00755033454308418,0.015060871019032473,10.0,1.0574775945046951e-16,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,10.0,10.0,10.0,1.0,1.5061680135799291,7.216449660063518e-16,0.0,1.0547118733938987e-13,0.0,0.0,0.0,1.376229999999999,1.458,0.0,7.105427357601002e-15,7.105427357601002e-15
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,8000.0,4.1,8.2,8000.0,10.0,0.009275317576841437,0.007550334543087095,0.015060871019032473,10.0,5.027479166295335e-14,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,10.0,10.0,10.0,1.0,1.506168013579929,4.440892098500626e-16,0.0,8.604228440844963e-14,0.0,0.0,0.0,1.334,1.459,0.0,3.774758283725532e-15,3.774758283725532e-15
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,4.1,4.1,4.1,4000.0,10.0,0.02177285379852975,0.014980597306236361,0.05655038906288906,20.0,0.01121413560237503,0.889261744966443,0.11073825503355705,0.01078174642282083,0.16652606928526953,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.099999959,10.0,47.09642910385096,589.2071346239516,0.5469798657718121,1.5835170976525035,4.1,4000.0,432.7636123202132,0.0,0.4463087248322148,0.006711409395973154,1.960229999999999,2.625,0.0,7.549516567451064e-15,7.549516567451064e-15
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,6.0,4.1,6.0,4000.0,10.0,0.009275317576841441,0.00755033454308419,0.015060871019032418,10.0,1.1259794040636776e-16,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.78515625,0.0,13.465995800213593,0.0,0.0,0.0,1.083,1.333,0.0,7.549516567451064e-15,7.549516567451064e-15
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,8.2,4.1,8.2,4000.0,10.0,0.009275317576841432,0.007550334543084183,0.015060871019032418,10.0,9.668300809508334e-17,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.785156250000001,0.0,13.465995800213681,0.0,0.0,0.0,1.041,1.208,0.0,7.549516567451064e-15,7.549516567451064e-15
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,12.0,4.1,12.0,4000.0,10.0,0.009275317576841432,0.007550334543084183,0.015060871019032418,10.0,9.679696125242239e-17,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.785156250000001,0.0,13.465995800213681,0.0,0.0,0.0,1.126259999999999,1.333,0.0,7.549516567451064e-15,7.549516567451064e-15
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,16.4,4.1,16.4,4000.0,10.0,0.009275317576841432,0.007550334543084183,0.015060871019032418,10.0,9.674335288551446e-17,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.785156250000001,0.0,13.465995800213681,0.0,0.0,0.0,37.82602999999974,165.167,0.0,7.549516567451064e-15,7.549516567451064e-15
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,41.0,4.1,8.2,41.0,10.0,0.009275317576841432,0.007550334543084177,0.015060871019032418,10.0,8.783451020288697e-17,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799294,4.78515625000035,0.0,13.465995800227182,0.0,0.0,0.0,2.1682599999999987,4.375,0.0,2.220446049250313e-16,2.220446049250313e-16
