experiment,dataset,method_id,method,result_group,target_components,derivative_source,causal,future_samples,native_delay_samples,target_timing,evaluation_start_index,evaluation_stop_index_exclusive,sweep_type,sweep_value,max_velocity_limit,max_acceleration_limit,max_jerk_limit,minimum_duration_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,raw_target_feasible_rate,target_projection_rate,projection_velocity_rmse,projection_acceleration_rmse,raw_target_max_velocity,raw_target_max_acceleration,raw_target_max_sampled_jerk,projected_target_max_velocity,projected_target_max_acceleration,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,reachable_within_10ms_rate,output_max_velocity,output_max_acceleration,output_max_new_jerk,output_max_sampled_jerk,output_velocity_saturation_rate,output_acceleration_saturation_rate,output_new_jerk_saturation_rate,ruckig_compute_p99_us,ruckig_compute_max_us,settle_time_to_1e3_ms,settle_max_error,settle_final_error
baseline,sine,pva_backward,PVA · historical backward FD,core,pva,backward_fd,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.008252435105764747,0.005748160908987697,0.02261242632885021,10.0,0.001787301031559964,1.0,0.0,0.0,0.0,1.694482817664375,6.362914489752569,40.05873126954072,1.694482817664375,6.362914489752569,10.0,14.325959832844845,426.2752550900271,0.6174496644295302,1.7110717330953424,8.2,4000.0,1255.6557421777463,0.0,0.13087248322147652,0.2516778523489933,1.2242599999999852,2.375,0.0,1.9007759081285637e-14,1.9007749630441446e-14
baseline,sine,pv_central_offline,PV · centered FD (offline),core,pv,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.006750305941736916,0.004966008195916092,0.016944828176643584,10.0,3.5984808715854266e-12,1.0,0.0,0.0,0.0,1.6944828176643667,0.0,0.0,1.6944828176643667,0.0,10.0,10.0,10.0,1.0,1.6944828176643665,8.43769498715119e-15,0.0,1.0436096431476471e-12,0.0,0.0,0.0,2.084,2.208,0.0,9.521521133904435e-17,1.0945557347837529e-19
baseline,sine,pva_central_offline,PVA · centered FD (offline),core,pva,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.006750305941891873,0.004966008195983754,0.016944828176643584,10.0,3.231271913436588e-12,1.0,0.0,0.0,0.0,1.6944828176643667,6.362914489752569,40.05873126954072,1.6944828176643667,6.362914489752569,10.0,10.0,10.0,1.0,1.694482817664367,6.362914489752569,0.0,40.05873126954071,0.0,0.0,0.0,1.0864599999999978,1.958,0.0,9.535709022090597e-17,1.3368043538176761e-20
baseline,sine,pv_central_causal,PV · centered FD (causal delay-1),realtime_supplement,pv,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.006750305942502687,0.00496600819614848,0.016944828176643747,10.0,6.335513736050085e-12,1.0,0.0,0.0,0.0,1.6964857542278435,0.0,0.0,1.6964857542278435,0.0,10.0,10.0,10.0,1.0,1.6964857542278435,9.492406860545088e-15,0.0,1.6431300764452317e-12,0.0,0.0,0.0,2.0457199999999967,2.25,0.0,1.9505737642523674e-13,1.7741222966074006e-19
baseline,sine,pva_central_causal,PVA · centered FD (causal delay-1),realtime_supplement,pva,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.00675030594262529,0.0049660081962048545,0.016944828176643754,10.0,6.623227569277439e-12,1.0,0.0,0.0,0.0,1.6964857542278435,6.362914489752569,40.05873126954072,1.6964857542278435,6.362914489752569,10.0,10.0,10.0,1.0,1.6964857542278435,6.362914489752569,0.0,40.05873126954074,0.0,0.0,0.0,1.0855199999999976,1.5,0.0,1.951119466356367e-13,5.260761124301495e-20
baseline,csv,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.03518699100246076,0.0175044112519558,0.18452842848970727,70.0,0.014975179450356882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.73036186622759,116.23185783711577,204.22887068758055,0.08742886704604243,1.5888728923893267,8.2,4000.0,1639.9999999999998,0.0,0.6916709777547853,0.22090015519917228,1.5,1.917,0.0,1.5334955527634975e-15,1.5334955527634975e-15
baseline,csv,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.06397832213362444,0.028256890704759705,0.32712899473964596,110.0,0.04177931394396851,1.0,0.0,0.0,0.0,2.844420865977715,0.0,0.0,2.844420865977715,0.0,23.772067418844536,245.23301509393613,589.1099610097706,0.19555095706156234,2.484041456605159,8.200000000000001,4000.0,1639.9999999999998,0.0,0.6083807553026384,0.19606828763579928,1.4868800000000026,2.917,0.0,9.407748885470468e-11,9.407738477129612e-11
baseline,csv,pva_backward,PVA · historical backward FD,core,pva,backward_fd,True,0,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.03874099146367436,0.016935585313036048,0.24049242424815687,70.0,0.023579533979721345,0.6735644076564925,0.3264355923435075,0.30804325396760035,30.368774248978667,2.844420865977715,280.09102085992384,44460.847180796954,1.932206320576263,8.199999918,18.307348702938786,139.21797210876795,371.17259414099874,0.2048629073978272,2.214812653994528,8.200000000000001,4000.0,1639.9999999999998,0.0,0.5442317640972582,0.25090532850491465,1.4035600000000028,2.208,0.0,1.2935771898092696e-10,6.938893903907228e-18
baseline,csv,pv_central_offline,PV · centered FD (offline),core,pv,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.0672252671036135,0.030952196360105617,0.3328704542455819,130.0,0.03888314445935793,1.0,0.0,0.0,0.0,2.050371202028904,0.0,0.0,2.050371202028904,0.0,21.890962840186994,225.65504035381664,475.71543141732616,0.23072943610967409,2.4118578202080614,8.200000000000001,4000.0,1639.9999999999998,0.0,0.61148473874806,0.1577858251422659,1.833,3.333,0.0,3.3875194316301815e-12,3.387415348221623e-12
baseline,csv,pva_central_offline,PVA · centered FD (offline),core,pva,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.04470066849690073,0.020096187408727536,0.2607792754863546,80.0,0.025932891116934528,0.6735644076564925,0.3264355923435075,0.27120947446509763,30.368774248978667,2.050371202028904,280.09102085992384,44460.847180796954,1.957878422605025,8.199999918,20.060625937300625,143.283812702274,331.53439250516493,0.2710812209001552,2.1097938858509453,8.200000000000001,4000.0,1639.9999999999998,0.0,0.5835488877392654,0.1469218830832902,1.583,6.125,0.0,2.098751727963588e-12,2.0987378501757803e-12
baseline,csv,pv_central_causal,PV · centered FD (causal delay-1),realtime_supplement,pv,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.07856071108936082,0.03523684696189766,0.46618799413774104,160.0,0.0469640263927473,1.0,0.0,0.0,0.0,3.9816992121728014,0.0,0.0,3.9816992121728014,0.0,34.203878348429,282.54418549587325,660.4542321892824,0.17640972581479566,2.459102880074313,8.200000000000001,4000.0,1639.9999999999998,0.0,0.6896016554578376,0.13398861872736678,1.4166800000000002,2.625,0.0,3.3875194316301815e-12,3.3875124927362776e-12
baseline,csv,pva_central_causal,PVA · centered FD (causal delay-1),realtime_supplement,pva,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.04410854224537917,0.01957110799113282,0.2431320117792195,80.0,0.024227833998073538,0.6735644076564925,0.3264355923435075,0.4029141795215602,30.368774248978667,3.9816992121728014,280.09102085992384,44460.847180796954,1.9208103020696699,8.199999918,24.10624920745868,156.3388136558479,370.05780621547075,0.19451629591308847,2.1843474242017504,8.200000000000001,4000.0,1639.9999999999998,0.0,0.6161407139161924,0.1893429901707191,1.417,2.584,0.0,2.153760503276203e-11,2.1537563399398607e-11
