dataset,method,explicit_delay_ms,prediction_lookahead_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
cubic,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,7.234722977961651e-05,6.426321647548031e-05,0.00010620806487254136,0.0,7.234722977961651e-05,0.0,0.5928402158538787,1.584107844501714,8.092666897867339,0.5896851577070716,1.7175336234991527,41.0,3.042,4.214409999999995,1.916
cubic,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,7.083743468391785e-05,6.292094056336878e-05,0.00010109582622494853,0.0,7.083743468391785e-05,0.0,0.5924430387734703,1.559256580054964,7.9686881490228485,0.5896617949064675,1.717064894096911,41.0,3.0,3.833,1.833
cubic,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,0.0005468111413433076,0.0004619112753005739,0.0010381827405501459,0.0,0.0005468111413433076,0.0,0.6368347297944741,1.4815924054349088,7.557028198574229,0.5930341329222075,1.7619888226163272,41.0,3.084,3.9580100000000003,1.9584199999999996
cubic,Robust CA-KF (50 ms lookahead),0.0,50.0,0.04623610348964498,0.025753976832074196,0.14652915666193955,50.0,0.043113516806632314,0.0,0.6299530054829325,1.4714838298709267,7.511185821181446,0.6642152631287638,5.7630824990728104,41.000000000000014,11.8545,15.00041,1.7949199999999974
cubic,Jerk-limited tracker (50 ms lookahead),0.0,50.0,0.07482808497088993,0.061224885887759525,0.1250476795640615,230.0,0.008020138759884589,0.0,0.5406894845281103,1.229941994504062,6.189179510971553,0.538611511691656,1.4599635076817876,41.0,6.375,8.12541,1.792
sine,Position only,0.0,10.0,0.12296895791542498,0.08347126518078062,0.3217373913478696,190.0,0.02480976121495814,0.0,0.0,0.0,0.0,1.4345815122453331,8.000762772371935,41.000000000000014,0.125,0.16740999999999964,0.9659199999999928
sine,Raw backward difference (original),0.0,0.0,0.22501348410039984,0.13211107302811945,0.6171693351507611,370.0,0.10030511185653204,0.0,1.694482817664375,6.362914489752569,39.88713055063063,1.7538185803251942,8.2,41.000000000000014,0.416,0.5004099999999996,0.9602399999999989
sine,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,0.07599125485588921,0.036852689668482964,0.23668373053627798,20.0,0.07546670437778871,0.0,1.7639173731324786,6.362914489752569,39.88713055063063,1.7084744245977592,8.2,41.000000000000014,1.042,1.2504199999999996,2.0004099999999996
sine,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,7.8107466444281e-05,6.950466540177543e-05,0.00014626113398863438,0.0,7.8107466444281e-05,0.0,1.7029880273440967,7.035603782699459,44.70254922637444,1.6943628075548438,6.642726423990489,41.000000000000014,3.083,3.8344099999999997,2.375
sine,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,7.196315195232834e-05,6.457692832227196e-05,0.00012117309720205416,0.0,7.196315195232834e-05,0.0,1.6999237714392783,6.88422552553595,43.603382774052534,1.6945945844142865,6.6554825471294805,41.000000000000014,3.041,3.4588299999999994,2.2094099999999997
sine,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,0.1930161700007612,0.11013809142726227,0.5462883760464137,310.0,0.08020212253333113,0.0,1.9471111004249755,6.430595666377811,40.310178116419294,1.7850556829438269,8.2,41.000000000000014,3.0,3.875,1.9176799999999985
sine,Robust CA-KF (50 ms lookahead),0.0,50.0,0.19814538320478906,0.1153485599367469,0.5571452518076971,320.0,0.07875119012289875,0.0,1.9075542260987912,6.371632172333384,39.89123504613009,1.7927666761031313,8.2,41.000000000000014,11.916,14.916839999999999,1.79101
sine,Jerk-limited tracker (50 ms lookahead),0.0,50.0,0.1343187136679691,0.10069492963433761,0.3290645581644529,220.0,0.02414698088866286,0.0,1.4033022182171013,5.2785232751520414,30.373954874554485,1.3998763947068338,5.445195141189555,41.000000000000014,6.25,8.003329999999997,2.2924099999999994
csv,Position only,0.0,10.0,0.08049503757891166,0.04643070400350057,0.3802586614885641,190.0,0.031243689314371156,0.0,0.0,0.0,0.0,1.5119339860031138,6.969713815662356,41.000000000000014,0.125,0.208,0.667
csv,Raw backward difference (original),0.0,0.0,0.21673896294417763,0.1409284869815636,0.8381736537883762,390.0,0.1556139363427422,0.2955503512880562,1.932206320576263,8.199999918,1639.9999835999993,2.313076822338857,8.2,41.000000000000014,0.416,0.542,0.875
csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,0.18661739053420792,0.11478865668924305,0.6902964834379169,390.0,0.11903599811985535,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,2.1612482874269494,8.2,41.000000000000014,1.042,1.333,1.0
csv,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,0.21827755320287226,0.1409702094959161,0.9466328262325473,410.00000000000006,0.16113233248709952,0.46510538641686183,1.9790138267952848,8.199999918,1639.9999835999993,2.2495101526821855,8.2,41.000000000000014,3.083,3.819059999999994,0.9857199999999938
csv,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,0.2553191597455895,0.1780717349839382,1.0138825873977309,390.0,0.19209988274606327,0.609367681498829,2.159420787193549,8.199999918,1639.9999835999993,2.555226477639399,8.2,41.000000000000014,3.0,3.777059999999994,0.792
csv,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,0.10001068553448411,0.0600321686421582,0.3513601588749804,130.0,0.08626323735669444,0.059484777517564404,2.208107298133537,8.199999918,260.5494581483729,2.0960731289754913,8.2,41.000000000000014,3.0,3.875,1.402059999999994
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,0.09655440850536143,0.05674316592061491,0.36469511623223194,130.0,0.0804699170641319,0.04871194379391101,2.1693077168373254,8.199999918,263.9735701124864,2.058798618813995,8.2,41.000000000000014,11.75,12.846779999999988,1.167
csv,Jerk-limited tracker (50 ms lookahead),0.0,50.0,0.14889990220164823,0.08887480035914382,0.6088673268579722,410.00000000000006,0.05621461228314655,0.008430913348946136,1.4895190391894995,8.199999918,128.59202216158076,1.572926266324232,8.2,41.000000000000014,6.166,6.956999999999963,1.875
