dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us,estimator_family,duration_mode,prediction_position_rmse,prediction_position_mae,prediction_position_max_error
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,100.0,position_only,0.0750927309816027,0.041352277894782956,0.3338577167454524,130.0,0.04910664458610451,0.0,0.0,0.0,0.0,309.72440343581184,543.6099449617067,717.0871806937458,774.7633796653915,0.043410852713178294,1.7763996791058654,8.2,41.000000000000014,11.875,15.04166,1.209,CA-KF,matched,0.03282852791685063,0.019872635389391307,0.18367762584038586
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,10.0,position_only,0.07507878790539886,0.0414436448065821,0.3329866526313432,130.0,0.049081920913183905,0.0,0.0,0.0,0.0,310.7521475889271,543.6099501789872,717.0871994813447,774.7634291450738,0.03927648578811369,1.7756966835957124,8.2,41.000000000000014,11.916,14.875,1.417,CA-KF,control_cycle,0.03282852791685063,0.019872635389391307,0.18367762584038586
csv,Robust CA-KF (150 ms lookahead),0.0,150.0,150.0,full,0.17800426146133347,0.09209445361076092,0.7476260332682072,210.0,0.15447973755831967,0.04871194379391101,2.9720021749641217,8.199999918,263.9735701124864,384.55515486735175,822.2416743973374,1149.6370143419251,1435.9676277942144,0.11937984496124031,2.182861885116167,8.2,41.000000000000014,11.917,14.443219999999975,1.75,CA-KF,matched,0.0639266592836751,0.03864022779464583,0.3272585887527727
csv,Robust CA-KF (150 ms lookahead),0.0,150.0,10.0,full,0.1554516380166866,0.08857440073860577,0.6542285013651464,220.0,0.11619640663735625,0.04871194379391101,2.9720021749641217,8.199999918,263.9735701124864,376.9998604144814,735.2559848184181,1285.7805389685416,1530.2692955688312,0.10077519379844961,2.273804342970527,8.2,41.000000000000014,11.916,12.76227999999997,1.833,CA-KF,control_cycle,0.0639266592836751,0.03864022779464583,0.3272585887527727
csv,Robust CA-KF (150 ms lookahead),0.0,150.0,150.0,position_only,0.11487402709854039,0.06176722506397688,0.5172095895605147,160.0,0.08977012326596794,0.0,0.0,0.0,0.0,384.83123342224354,634.386066960708,860.1898727502064,925.035430472335,0.06821705426356589,1.9863764139285185,8.2,41.000000000000014,11.917,14.790499999999982,1.318719999999994,CA-KF,matched,0.0639266592836751,0.03864022779464583,0.3272585887527727
csv,Robust CA-KF (150 ms lookahead),0.0,150.0,10.0,position_only,0.11672156098366944,0.0639757951731522,0.5172163941615198,170.0,0.0908457776483993,0.0,0.0,0.0,0.0,391.28337489615114,658.2170359347876,861.4783052255865,924.8511847253329,0.06925064599483204,1.890425301282154,8.2,41.000000000000014,11.875,12.360719999999993,1.375,CA-KF,control_cycle,0.0639266592836751,0.03864022779464583,0.3272585887527727
csv,Robust CA-KF (200 ms lookahead),0.0,200.0,200.0,full,0.21236616834820016,0.11333183797108382,0.8504269553717416,270.0,0.17016745037107292,0.04871194379391101,3.3130807976907697,8.199999918,263.9735701124864,423.27415317794237,818.7420403659614,1178.783493529003,1397.8670968329327,0.15400516795865632,2.3022420242094137,8.2,41.000000000000014,11.875,12.76227999999997,1.7086599999999998,CA-KF,matched,0.10522143385387316,0.06356632221735872,0.5458784836195135
csv,Robust CA-KF (200 ms lookahead),0.0,200.0,10.0,full,0.24308012223183081,0.13284285963608253,0.9480445570727544,140.0,0.23517518223896133,0.04871194379391101,3.3130807976907697,8.199999918,263.9735701124864,434.0689475964102,914.2332803961833,1337.372750387043,1694.8858374859558,0.11937984496124031,2.627943825881423,8.2,41.000000000000014,12.0,14.151559999999975,1.7916599999999998,CA-KF,control_cycle,0.10522143385387316,0.06356632221735872,0.5458784836195135
csv,Robust CA-KF (200 ms lookahead),0.0,200.0,200.0,position_only,0.1341987326492935,0.08026990000889583,0.5747139633787377,160.0,0.11537349491414939,0.0,0.0,0.0,0.0,451.30313344132986,739.2481125980192,998.2419236033974,1031.9867247997797,0.08372093023255814,1.9586824584347844,8.2,41.000000000000014,11.958,14.221779999999988,1.708,CA-KF,matched,0.10522143385387316,0.06356632221735872,0.5458784836195135
csv,Robust CA-KF (200 ms lookahead),0.0,200.0,10.0,position_only,0.1331821636161275,0.08088808597869271,0.5733903510056639,160.0,0.11497932672626539,0.0,0.0,0.0,0.0,460.2367074349256,737.2059786343984,995.1026972462872,1028.3931606344452,0.08217054263565891,1.9545147612952307,8.2,41.000000000000014,11.958,12.569059999999993,1.417,CA-KF,control_cycle,0.10522143385387316,0.06356632221735872,0.5458784836195135
