dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us,estimator_family,duration_mode,prediction_position_rmse,prediction_position_mae,prediction_position_max_error
csv,Robust CA-KF (150 ms lookahead),0.0,150.0,150.0,position_only,0.06257713330549916,0.031189513995583427,0.35693277837161685,-40.0,0.06018052842951503,0.0,0.0,0.0,0.0,150.0,191.64984316455426,376.71724383492943,462.9776599241966,0.8310077519379845,2.7443952462223216,16.0,3200.0,11.792,16.638119999999986,1.542,CA-KF,matched,0.0639266592836751,0.03864022779464583,0.3272585887527727
csv,Robust CA-KF (150 ms lookahead),0.0,150.0,10.0,position_only,0.07407167424031343,0.047057478252281806,0.3701279517468284,-60.0,0.06874222937531008,0.0,0.0,0.0,0.0,83.91916442572695,202.47903865867949,370.0194866985246,479.4338367807983,0.7695090439276486,2.955013972858803,16.000000000000004,3200.0,11.792,16.458,1.625,CA-KF,control_cycle,0.0639266592836751,0.03864022779464583,0.3272585887527727
csv,Robust CA-KF (200 ms lookahead),0.0,200.0,200.0,full,0.03193896405172792,0.018947906196028215,0.19300225475631863,-20.0,0.030715954884273693,0.004215456674473068,4.070646496601498,15.999999839999997,276.2647534634291,200.0,200.0,247.97576619614642,330.56249810736966,0.965374677002584,2.125687645942041,16.0,3200.0,11.875,16.819059999999993,1.875,CA-KF,matched,0.10522143385387316,0.06356632221735872,0.5458784836195135
csv,Robust CA-KF (200 ms lookahead),0.0,200.0,10.0,full,0.14573968107001453,0.08942615502060686,0.6061618402251079,-90.0,0.13910018646230193,0.004215456674473068,4.070646496601498,15.999999839999997,276.2647534634291,110.76119623802056,297.1842779792756,541.9401181289096,773.8409466940955,0.7633074935400517,4.1,16.0,3200.0,11.792,16.75,1.875,CA-KF,control_cycle,0.10522143385387316,0.06356632221735872,0.5458784836195135
csv,Robust CA-KF (200 ms lookahead),0.0,200.0,200.0,position_only,0.08211722863747697,0.04203376961851542,0.42847326645448375,-60.0,0.0769961432496151,0.0,0.0,0.0,0.0,200.0,211.92010379263982,432.86228127553363,559.8093513329167,0.8790697674418605,3.1769100881222228,16.0,3200.0,11.833,16.66666,1.6110599999999942,CA-KF,matched,0.10522143385387316,0.06356632221735872,0.5458784836195135
csv,Robust CA-KF (200 ms lookahead),0.0,200.0,10.0,position_only,0.10579542887348513,0.06951894741140884,0.40894651483329053,-70.0,0.10074721990538504,0.0,0.0,0.0,0.0,113.86992465195031,277.4451154173752,442.27223763174806,495.80852208653005,0.7989664082687339,3.58864458995339,16.000000000000004,3200.0,11.834,16.583,1.625,CA-KF,control_cycle,0.10522143385387316,0.06356632221735872,0.5458784836195135
csv,Robust CA-KF (250 ms lookahead),0.0,250.0,250.0,full,0.04284666097942174,0.025734881296357138,0.2263294887730236,-30.0,0.03974939688768533,0.009836065573770493,4.085594530901382,15.5095150512471,276.2647534634291,250.0,250.0,290.4127396314262,410.3373628937517,0.9746770025839794,2.1825479129663985,16.000000000000004,3200.0,11.834,15.208,1.7360599999999942,CA-KF,matched,0.1565778886834669,0.09462670238126429,0.8513235784518869
csv,Robust CA-KF (250 ms lookahead),0.0,250.0,10.0,full,0.1955261157234426,0.11950873329265241,0.8069551304280909,-80.0,0.1904199551111985,0.009836065573770493,4.085594530901382,15.5095150512471,276.2647534634291,131.95032799178566,344.8500648080728,577.3058807464936,818.5811524537346,0.7782945736434108,4.1,16.0,3200.0,12.0,15.25,2.0,CA-KF,control_cycle,0.1565778886834669,0.09462670238126429,0.8513235784518869
csv,Robust CA-KF (250 ms lookahead),0.0,250.0,250.0,position_only,0.09251707448646058,0.050577253738939745,0.4231314091006601,-80.0,0.08492728064270938,0.0,0.0,0.0,0.0,250.0,250.0,455.2293047677002,621.8633145794159,0.9054263565891473,3.3060976622559957,16.000000000000004,3200.0,12.166,16.652059999999995,1.833,CA-KF,matched,0.1565778886834669,0.09462670238126429,0.8513235784518869
csv,Robust CA-KF (250 ms lookahead),0.0,250.0,10.0,position_only,0.1488481342562073,0.09819678318256743,0.5599730831955891,-70.0,0.14422381602918113,0.0,0.0,0.0,0.0,146.77613331926165,339.37054967356653,522.8467154839537,588.6567565403082,0.7979328165374677,4.1,16.0,3200.0,11.75,15.166,1.735719999999994,CA-KF,control_cycle,0.1565778886834669,0.09462670238126429,0.8513235784518869
csv,Robust CA-KF (300 ms lookahead),0.0,300.0,300.0,full,0.05381052281219842,0.03308185644745077,0.2658207789120079,-50.0,0.04849197901896788,0.019672131147540985,4.090046138309411,13.058535729734636,267.6037461104378,300.0,300.0,339.7919729165094,507.10831800977627,0.9808785529715762,2.4515945347713566,16.000000000000004,3200.0,12.0,15.152719999999993,1.708,CA-KF,matched,0.21821822304794752,0.13254135489429184,1.242091355928707
csv,Robust CA-KF (300 ms lookahead),0.0,300.0,10.0,full,0.2426166344475074,0.15023825996932474,0.948769841187402,-60.0,0.24061232162432716,0.019672131147540985,4.090046138309411,13.058535729734636,267.6037461104378,154.00963123536,404.75295885143447,627.7941694105915,832.8714474978008,0.7906976744186046,4.1,16.0,3200.0,12.0,15.375,1.8610599999999942,CA-KF,control_cycle,0.21821822304794752,0.13254135489429184,1.242091355928707
csv,Robust CA-KF (300 ms lookahead),0.0,300.0,300.0,position_only,0.10762955779586156,0.06109574431944739,0.45169514701847996,-90.0,0.09809192942584045,0.0,0.0,0.0,0.0,300.0,300.0,505.9323018010573,709.211273549173,0.9116279069767442,3.44785204953169,16.000000000000004,3200.0,11.959,15.152059999999993,1.542,CA-KF,matched,0.21821822304794752,0.13254135489429184,1.242091355928707
csv,Robust CA-KF (300 ms lookahead),0.0,300.0,10.0,position_only,0.19780425612065364,0.1283970407792814,0.7895683938342657,-60.0,0.19467003441229833,0.0,0.0,0.0,0.0,177.93186506967012,394.01623907052226,629.3579005013132,716.1750809212119,0.8,4.1,16.0,3200.0,12.0,15.194059999999993,1.667,CA-KF,control_cycle,0.21821822304794752,0.13254135489429184,1.242091355928707
csv,Alpha-beta-gamma (50 ms lookahead),0.0,50.0,50.0,full,0.023052056431625823,0.010120541783833412,0.14929519886158912,10.0,0.02245924412849293,0.003747072599531616,2.360074428545809,15.99999984,274.2197766441911,50.0,102.47872427058086,302.177829875689,431.646716884722,0.8248062015503876,2.5087428947456627,16.000000000000004,3200.0,3.208,7.485719999999994,2.333,ABG,matched,0.014007274573023686,0.00861565275672876,0.08179571640210992
csv,Alpha-beta-gamma (50 ms lookahead),0.0,50.0,10.0,full,0.03941127896063582,0.019838404662573438,0.2271424635793166,10.0,0.03912671900329726,0.003747072599531616,2.360074428545809,15.99999984,274.2197766441911,27.155537864843442,153.3833345131753,358.29918477978936,491.14603559995686,0.6914728682170542,2.303469747231598,16.0,3200.0,3.167,8.579999999999927,2.429779999999988,ABG,control_cycle,0.014007274573023686,0.00861565275672876,0.08179571640210992
csv,Alpha-beta-gamma (50 ms lookahead),0.0,50.0,50.0,position_only,0.01991127865504211,0.009457426901193985,0.13404211044012046,10.0,0.019402772848898967,0.0,0.0,0.0,0.0,50.0,108.7779291266085,192.3664178639952,219.95947341870442,0.6868217054263566,2.2844831197381654,16.0,3200.0,3.167,9.367499999999836,3.4027199999999937,ABG,matched,0.014007274573023686,0.00861565275672876,0.08179571640210992
